Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Pitches,Balls,Strikes
SAN FRANCISCO GIANTS,Luis González,batted-ball,Pitcher,Handedness,2022,vs L,1.50,0.0%,60.0%,40.0%,0.0%,0.0%,0.0%,0.0%,80.0%,20.0%,0.0%,80.0%,0.0%,20.0%,26,12,14
SAN FRANCISCO GIANTS,Luis González,batted-ball,Pitcher,Handedness,2022,vs R,2.75,21.1%,57.9%,21.1%,0.0%,0.0%,9.1%,0.0%,26.3%,47.4%,26.3%,15.8%,57.9%,26.3%,54,21,33
SAN FRANCISCO GIANTS,Austin Wynns,batted-ball,Pitcher,Handedness,2022,vs L,1.00,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,0.0%,2,1,1
SAN FRANCISCO GIANTS,Austin Wynns,batted-ball,Pitcher,Handedness,2022,vs R,0.50,25.0%,25.0%,50.0%,0.0%,0.0%,0.0%,0.0%,50.0%,25.0%,25.0%,25.0%,50.0%,25.0%,14,8,6
SAN FRANCISCO GIANTS,Logan Webb,batted-ball,Pitcher,Handedness,2022,vs L,2.59,19.6%,58.0%,22.4%,3.1%,9.4%,8.4%,0.0%,49.0%,33.8%,17.2%,13.1%,53.8%,33.1%,747,264,483
SAN FRANCISCO GIANTS,Logan Webb,batted-ball,Pitcher,Handedness,2022,vs R,2.00,17.9%,54.7%,27.4%,12.2%,8.2%,9.2%,0.0%,36.1%,41.7%,22.2%,21.1%,57.8%,21.1%,968,321,647
SAN FRANCISCO GIANTS,Carlos Rodón,batted-ball,Pitcher,Handedness,2022,vs L,0.76,21.1%,34.2%,44.7%,17.6%,0.0%,7.7%,50.0%,40.0%,32.5%,27.5%,20.0%,62.5%,17.5%,327,113,214
SAN FRANCISCO GIANTS,Carlos Rodón,batted-ball,Pitcher,Handedness,2022,vs R,1.00,20.4%,39.8%,39.8%,13.8%,5.0%,10.0%,0.0%,36.9%,31.5%,31.5%,18.7%,53.7%,27.6%,1307,421,886
SAN FRANCISCO GIANTS,Alex Wood,batted-ball,Pitcher,Handedness,2022,vs L,3.00,22.8%,57.9%,19.3%,0.0%,9.1%,0.0%,0.0%,29.8%,43.9%,26.3%,21.1%,66.7%,12.3%,352,120,232
SAN FRANCISCO GIANTS,Alex Wood,batted-ball,Pitcher,Handedness,2022,vs R,1.61,22.4%,47.9%,29.7%,5.3%,12.3%,13.0%,0.0%,42.0%,35.2%,22.8%,15.5%,57.5%,26.9%,1093,367,726
