Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Pitches,Balls,Strikes
BALTIMORE ORIOLES,Rico Garcia,batted-ball,Pitcher,Handedness,2022,vs R,0.14,11.1%,11.1%,77.8%,14.3%,28.6%,0.0%,0.0%,22.2%,55.6%,22.2%,33.3%,11.1%,55.6%,24,8,16
BALTIMORE ORIOLES,Kyle Bradish,batted-ball,Pitcher,Handedness,2022,vs L,2.31,21.8%,54.5%,23.6%,0.0%,15.4%,3.3%,0.0%,43.6%,38.2%,18.2%,7.3%,56.4%,36.4%,356,145,211
BALTIMORE ORIOLES,Kyle Bradish,batted-ball,Pitcher,Handedness,2022,vs R,0.89,26.7%,34.4%,38.9%,5.7%,25.7%,12.9%,0.0%,32.2%,37.8%,30.0%,12.2%,50.0%,37.8%,476,178,298
BALTIMORE ORIOLES,Chris Ellis,batted-ball,Pitcher,Handedness,2022,vs L,3.00,33.3%,50.0%,16.7%,0.0%,0.0%,0.0%,0.0%,33.3%,33.3%,33.3%,16.7%,50.0%,33.3%,28,15,13
BALTIMORE ORIOLES,Chris Ellis,batted-ball,Pitcher,Handedness,2022,vs R,1.25,10.0%,50.0%,40.0%,0.0%,0.0%,20.0%,0.0%,40.0%,40.0%,20.0%,20.0%,70.0%,10.0%,55,25,30
BALTIMORE ORIOLES,John Means,batted-ball,Pitcher,Handedness,2022,vs L,1.00,14.3%,42.9%,42.9%,0.0%,0.0%,0.0%,0.0%,57.1%,28.6%,14.3%,14.3%,57.1%,28.6%,36,13,23
BALTIMORE ORIOLES,John Means,batted-ball,Pitcher,Handedness,2022,vs R,1.17,27.8%,38.9%,33.3%,33.3%,0.0%,14.3%,0.0%,55.6%,27.8%,16.7%,33.3%,44.4%,22.2%,99,34,65
BALTIMORE ORIOLES,Louis Head,batted-ball,Pitcher,Handedness,2022,vs L,0.54,28.6%,25.0%,46.4%,7.7%,7.7%,0.0%,0.0%,46.4%,32.1%,21.4%,17.9%,39.3%,42.9%,169,66,103
BALTIMORE ORIOLES,Louis Head,batted-ball,Pitcher,Handedness,2022,vs R,0.52,20.5%,27.3%,52.3%,0.0%,13.0%,16.7%,0.0%,48.9%,31.1%,20.0%,6.7%,48.9%,44.4%,281,110,171
BALTIMORE ORIOLES,Travis Lakins Sr.,batted-ball,Pitcher,Handedness,2022,vs L,1.00,23.1%,38.5%,38.5%,0.0%,0.0%,0.0%,0.0%,61.5%,23.1%,15.4%,0.0%,53.8%,46.2%,56,18,38
BALTIMORE ORIOLES,Travis Lakins Sr.,batted-ball,Pitcher,Handedness,2022,vs R,0.70,22.7%,31.8%,45.5%,10.0%,30.0%,0.0%,0.0%,18.2%,59.1%,22.7%,18.2%,40.9%,40.9%,152,60,92
BALTIMORE ORIOLES,Alexander Wells,batted-ball,Pitcher,Handedness,2022,vs L,2.00,0.0%,66.7%,33.3%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,66.7%,33.3%,18,7,11
BALTIMORE ORIOLES,Alexander Wells,batted-ball,Pitcher,Handedness,2022,vs R,0.50,14.3%,28.6%,57.1%,0.0%,25.0%,0.0%,0.0%,57.1%,0.0%,42.9%,0.0%,57.1%,42.9%,48,9,39
