Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
ST. LOUIS CARDINALS,Brendan Donovan,advanced,Batter,Handedness,2022,vs L as L,17.1%,12.2%,1.40,.353,.463,.412,.875,.059,.414,8,2.8,.395,160
ST. LOUIS CARDINALS,Brendan Donovan,advanced,Batter,Handedness,2022,vs R as L,10.8%,19.6%,0.55,.272,.377,.387,.765,.116,.341,29,5.2,.342,124
ST. LOUIS CARDINALS,Brendan Donovan,advanced,Batter,Handedness,2022,vs L,17.1%,12.2%,1.40,.353,.463,.412,.875,.059,.414,8,2.8,.395,160
ST. LOUIS CARDINALS,Brendan Donovan,advanced,Batter,Handedness,2022,vs R,10.8%,19.6%,0.55,.272,.377,.387,.765,.116,.341,29,5.2,.342,124
ST. LOUIS CARDINALS,Dylan Carlson,advanced,Batter,Handedness,2022,vs R as L,8.5%,17.0%,0.50,.228,.297,.354,.652,.127,.261,21,-3.8,.288,88
ST. LOUIS CARDINALS,Dylan Carlson,advanced,Batter,Handedness,2022,vs L as R,4.9%,24.6%,0.20,.351,.393,.561,.955,.211,.450,12,4.9,.412,172
ST. LOUIS CARDINALS,Dylan Carlson,advanced,Batter,Handedness,2022,vs L,4.9%,24.6%,0.20,.351,.393,.561,.955,.211,.450,12,4.9,.412,172
ST. LOUIS CARDINALS,Dylan Carlson,advanced,Batter,Handedness,2022,vs R,8.5%,17.0%,0.50,.228,.297,.354,.652,.127,.261,21,-3.8,.288,88
ST. LOUIS CARDINALS,Paul Goldschmidt,advanced,Batter,Handedness,2022,vs L as R,16.7%,19.4%,0.86,.458,.549,.831,1.380,.373,.561,23,15.0,.571,280
ST. LOUIS CARDINALS,Paul Goldschmidt,advanced,Batter,Handedness,2022,vs R as R,10.9%,21.2%,0.52,.306,.385,.543,.929,.238,.353,57,21.6,.400,164
ST. LOUIS CARDINALS,Paul Goldschmidt,advanced,Batter,Handedness,2022,vs L,16.7%,19.4%,0.86,.458,.549,.831,1.380,.373,.561,23,15.0,.571,280
ST. LOUIS CARDINALS,Paul Goldschmidt,advanced,Batter,Handedness,2022,vs R,10.9%,21.2%,0.52,.306,.385,.543,.929,.238,.353,57,21.6,.400,164
ST. LOUIS CARDINALS,Nolan Arenado,advanced,Batter,Handedness,2022,vs L as R,9.5%,7.9%,1.20,.250,.333,.643,.976,.393,.178,12,5.0,.410,170
ST. LOUIS CARDINALS,Nolan Arenado,advanced,Batter,Handedness,2022,vs R as R,8.8%,13.9%,0.63,.302,.366,.494,.860,.192,.321,48,14.2,.371,144
ST. LOUIS CARDINALS,Nolan Arenado,advanced,Batter,Handedness,2022,vs L,9.5%,7.9%,1.20,.250,.333,.643,.976,.393,.178,12,5.0,.410,170
ST. LOUIS CARDINALS,Nolan Arenado,advanced,Batter,Handedness,2022,vs R,8.8%,13.9%,0.63,.302,.366,.494,.860,.192,.321,48,14.2,.371,144
ST. LOUIS CARDINALS,Nolan Gorman,advanced,Batter,Handedness,2022,vs L as L,18.8%,31.3%,0.60,.308,.438,.462,.899,.154,.500,3,1.1,.398,162
ST. LOUIS CARDINALS,Nolan Gorman,advanced,Batter,Handedness,2022,vs R as L,8.4%,29.7%,0.28,.236,.310,.436,.745,.200,.291,20,2.0,.326,114
ST. LOUIS CARDINALS,Nolan Gorman,advanced,Batter,Handedness,2022,vs L,18.8%,31.3%,0.60,.308,.438,.462,.899,.154,.500,3,1.1,.398,162
ST. LOUIS CARDINALS,Nolan Gorman,advanced,Batter,Handedness,2022,vs R,8.4%,29.7%,0.28,.236,.310,.436,.745,.200,.291,20,2.0,.326,114
ST. LOUIS CARDINALS,Tommy Edman,advanced,Batter,Handedness,2022,vs R as L,8.9%,19.2%,0.46,.245,.320,.360,.680,.115,.290,32,-1.6,.303,98
ST. LOUIS CARDINALS,Tommy Edman,advanced,Batter,Handedness,2022,vs L as R,4.6%,13.8%,0.33,.289,.322,.410,.731,.120,.329,11,0.6,.319,109
ST. LOUIS CARDINALS,Tommy Edman,advanced,Batter,Handedness,2022,vs L,4.6%,13.8%,0.33,.289,.322,.410,.731,.120,.329,11,0.6,.319,109
ST. LOUIS CARDINALS,Tommy Edman,advanced,Batter,Handedness,2022,vs R,8.9%,19.2%,0.46,.245,.320,.360,.680,.115,.290,32,-1.6,.303,98
ST. LOUIS CARDINALS,Juan Yepez,advanced,Batter,Handedness,2022,vs L as R,8.9%,22.2%,0.40,.231,.289,.333,.622,.103,.267,4,-1.3,.273,78
ST. LOUIS CARDINALS,Juan Yepez,advanced,Batter,Handedness,2022,vs R as R,5.0%,23.3%,0.21,.262,.300,.494,.794,.232,.288,25,4.2,.339,123
ST. LOUIS CARDINALS,Juan Yepez,advanced,Batter,Handedness,2022,vs L,8.9%,22.2%,0.40,.231,.289,.333,.622,.103,.267,4,-1.3,.273,78
ST. LOUIS CARDINALS,Juan Yepez,advanced,Batter,Handedness,2022,vs R,5.0%,23.3%,0.21,.262,.300,.494,.794,.232,.288,25,4.2,.339,123
ST. LOUIS CARDINALS,Corey Dickerson,advanced,Batter,Handedness,2022,vs L as L,7.1%,7.1%,1.00,.083,.214,.167,.381,.083,.091,0,-1.3,.191,22
ST. LOUIS CARDINALS,Corey Dickerson,advanced,Batter,Handedness,2022,vs R as L,6.5%,18.7%,0.35,.222,.271,.354,.625,.131,.247,9,-3.4,.270,76
ST. LOUIS CARDINALS,Corey Dickerson,advanced,Batter,Handedness,2022,vs L,7.1%,7.1%,1.00,.083,.214,.167,.381,.083,.091,0,-1.3,.191,22
ST. LOUIS CARDINALS,Corey Dickerson,advanced,Batter,Handedness,2022,vs R,6.5%,18.7%,0.35,.222,.271,.354,.625,.131,.247,9,-3.4,.270,76
ST. LOUIS CARDINALS,Andrew Knizner,advanced,Batter,Handedness,2022,vs L as R,9.4%,18.8%,0.50,.143,.250,.286,.536,.143,.143,2,-1.6,.247,60
