Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
SAN DIEGO PADRES,Wil Myers,advanced,Pitcher,Handedness,2022,vs L,0.00,0.00,0.00,9.00,0.0%,0.0%,0.0%,1.000,1.00,.000,100.0%,16.11,4.60
SAN DIEGO PADRES,Wil Myers,advanced,Pitcher,Handedness,2022,vs R,0.00,0.00,0.00,9.00,0.0%,0.0%,0.0%,.250,1.00,.000,100.0%,16.11,9.07
SAN DIEGO PADRES,Austin Adams,advanced,Pitcher,Handedness,2022,vs L,27.00,27.00,1.00,0.00,50.0%,50.0%,0.0%,.000,3.00,.000,100.0%,6.11,6.11
SAN DIEGO PADRES,Austin Adams,advanced,Pitcher,Handedness,2022,vs R,0.00,5.40,0.00,0.00,0.0%,20.0%,-20.0%,.000,0.60,.000,100.0%,4.91,4.91
SAN DIEGO PADRES,Pierce Johnson,advanced,Pitcher,Handedness,2022,vs L,16.62,6.23,2.67,0.00,44.4%,16.7%,27.8%,.133,1.15,.286,100.0%,1.49,1.84
SAN DIEGO PADRES,Pierce Johnson,advanced,Pitcher,Handedness,2022,vs R,16.20,5.40,3.00,0.00,30.0%,10.0%,20.0%,.444,3.00,.667,40.0%,1.31,2.20
SAN DIEGO PADRES,Craig Stammen,advanced,Pitcher,Handedness,2022,vs L,5.84,1.46,4.00,2.19,15.1%,3.8%,11.3%,.250,1.14,.237,84.7%,5.95,4.60
SAN DIEGO PADRES,Craig Stammen,advanced,Pitcher,Handedness,2022,vs R,8.55,1.35,6.33,1.35,22.6%,3.6%,19.0%,.269,1.20,.305,80.8%,3.61,2.93
SAN DIEGO PADRES,Robert Suarez,advanced,Pitcher,Handedness,2022,vs L,9.26,5.40,1.71,0.00,26.7%,15.6%,11.1%,.081,0.86,.120,63.6%,3.11,4.39
SAN DIEGO PADRES,Robert Suarez,advanced,Pitcher,Handedness,2022,vs R,13.11,4.63,2.83,3.09,34.7%,12.2%,22.4%,.214,1.29,.238,100.0%,6.45,3.27
SAN DIEGO PADRES,Steven Wilson,advanced,Pitcher,Handedness,2022,vs L,9.90,2.70,3.67,0.00,27.5%,7.5%,20.0%,.189,1.00,.269,100.0%,1.81,3.60
SAN DIEGO PADRES,Steven Wilson,advanced,Pitcher,Handedness,2022,vs R,9.35,3.12,3.00,2.60,26.9%,9.0%,17.9%,.172,0.92,.135,60.0%,5.99,4.48
