Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
ARIZONA DIAMONDBACKS,Carson Kelly,advanced,Pitcher,Handedness,2022,vs L,0.00,0.00,0.00,0.00,0.0%,0.0%,0.0%,.000,0.00,.000,100.0%,3.11,5.35
ARIZONA DIAMONDBACKS,Carson Kelly,advanced,Pitcher,Handedness,2022,vs R,0.00,13.50,0.00,0.00,0.0%,14.3%,-14.3%,.667,7.50,.667,40.0%,7.61,12.08
ARIZONA DIAMONDBACKS,Madison Bumgarner,advanced,Pitcher,Handedness,2022,vs L,4.87,3.54,1.38,0.89,11.8%,8.6%,3.2%,.274,1.52,.296,68.5%,4.63,5.70
ARIZONA DIAMONDBACKS,Madison Bumgarner,advanced,Pitcher,Handedness,2022,vs R,6.97,2.66,2.62,1.39,18.2%,6.9%,11.2%,.255,1.30,.282,79.1%,4.59,4.46
ARIZONA DIAMONDBACKS,Tyler Gilbert,advanced,Pitcher,Handedness,2022,vs L,8.59,2.45,3.50,1.23,25.0%,7.1%,17.9%,.160,0.82,.167,43.5%,3.79,4.05
ARIZONA DIAMONDBACKS,Tyler Gilbert,advanced,Pitcher,Handedness,2022,vs R,5.00,3.00,1.67,3.00,12.5%,7.5%,5.0%,.282,1.44,.246,80.6%,7.50,5.73
ARIZONA DIAMONDBACKS,Merrill Kelly,advanced,Pitcher,Handedness,2022,vs L,7.29,3.55,2.06,0.59,19.5%,9.5%,10.0%,.222,1.23,.265,79.2%,3.53,4.40
ARIZONA DIAMONDBACKS,Merrill Kelly,advanced,Pitcher,Handedness,2022,vs R,7.21,2.76,2.61,0.46,19.7%,7.5%,12.1%,.242,1.21,.294,67.8%,3.14,4.00
ARIZONA DIAMONDBACKS,Dallas Keuchel,advanced,Pitcher,Handedness,2022,vs L,4.82,7.71,0.63,0.00,10.4%,16.7%,-6.2%,.325,2.25,.371,81.0%,4.61,5.73
ARIZONA DIAMONDBACKS,Dallas Keuchel,advanced,Pitcher,Handedness,2022,vs R,7.19,4.14,1.74,2.18,16.1%,9.3%,6.8%,.341,1.98,.371,45.6%,6.04,4.48
ARIZONA DIAMONDBACKS,Zac Gallen,advanced,Pitcher,Handedness,2022,vs L,8.72,2.34,3.73,1.06,24.8%,6.7%,18.2%,.172,0.87,.200,69.7%,3.70,3.47
ARIZONA DIAMONDBACKS,Zac Gallen,advanced,Pitcher,Handedness,2022,vs R,8.66,3.02,2.87,1.01,22.1%,7.7%,14.4%,.250,1.30,.304,75.9%,4.12,4.36
ARIZONA DIAMONDBACKS,Mark Melancon,advanced,Pitcher,Handedness,2022,vs L,4.40,3.14,1.40,1.26,10.9%,7.8%,3.1%,.276,1.47,.286,52.1%,5.20,5.36
ARIZONA DIAMONDBACKS,Mark Melancon,advanced,Pitcher,Handedness,2022,vs R,7.31,1.69,4.33,0.00,18.6%,4.3%,14.3%,.313,1.50,.389,54.2%,2.05,3.35
ARIZONA DIAMONDBACKS,Joe Mantiply,advanced,Pitcher,Handedness,2022,vs L,11.85,0.66,18.00,0.66,32.1%,1.8%,30.4%,.226,0.95,.324,88.2%,2.09,2.22
ARIZONA DIAMONDBACKS,Joe Mantiply,advanced,Pitcher,Handedness,2022,vs R,6.86,0.43,16.00,0.43,20.0%,1.3%,18.8%,.244,0.95,.295,81.6%,2.49,2.72
ARIZONA DIAMONDBACKS,Noé Ramirez,advanced,Pitcher,Handedness,2022,vs L,7.15,6.35,1.13,0.00,18.0%,16.0%,2.0%,.286,1.76,.364,95.0%,3.64,4.56
ARIZONA DIAMONDBACKS,Noé Ramirez,advanced,Pitcher,Handedness,2022,vs R,9.82,3.16,3.11,2.45,26.7%,8.6%,18.1%,.226,1.17,.237,49.5%,5.76,4.07
ARIZONA DIAMONDBACKS,Kyle Nelson,advanced,Pitcher,Handedness,2022,vs L,4.20,1.80,2.33,0.00,13.5%,5.8%,7.7%,.188,0.80,.220,76.9%,2.98,4.07
ARIZONA DIAMONDBACKS,Kyle Nelson,advanced,Pitcher,Handedness,2022,vs R,9.00,3.46,2.60,0.69,22.4%,8.6%,13.8%,.226,1.31,.282,83.3%,3.26,4.21
ARIZONA DIAMONDBACKS,Caleb Smith,advanced,Pitcher,Handedness,2022,vs L,5.82,2.12,2.75,0.00,16.2%,5.9%,10.3%,.188,0.94,.226,100.0%,2.52,4.63
ARIZONA DIAMONDBACKS,Caleb Smith,advanced,Pitcher,Handedness,2022,vs R,10.95,8.39,1.30,4.01,24.2%,18.5%,5.6%,.280,2.07,.288,76.5%,9.39,6.01
ARIZONA DIAMONDBACKS,Keynan Middleton,advanced,Pitcher,Handedness,2022,vs L,0.00,0.00,0.00,0.00,0.0%,0.0%,0.0%,.500,2.00,.500,100.0%,3.11,6.09
ARIZONA DIAMONDBACKS,Keynan Middleton,advanced,Pitcher,Handedness,2022,vs R,11.05,2.45,4.50,2.45,32.1%,7.1%,25.0%,.120,0.68,.067,0.0%,5.02,3.10
ARIZONA DIAMONDBACKS,Luke Weaver,advanced,Pitcher,Handedness,2022,vs L,7.71,5.79,1.33,0.00,13.8%,10.3%,3.4%,.462,3.21,.545,60.0%,3.32,4.92
ARIZONA DIAMONDBACKS,Luke Weaver,advanced,Pitcher,Handedness,2022,vs R,11.74,1.17,10.00,1.17,28.6%,2.9%,25.7%,.324,1.57,.435,47.2%,2.59,2.06
ARIZONA DIAMONDBACKS,Edwin Uceta,advanced,Pitcher,Handedness,2022,vs L,5.06,3.38,1.50,0.00,13.0%,8.7%,4.3%,.238,1.31,.278,42.9%,3.11,5.90
ARIZONA DIAMONDBACKS,Edwin Uceta,advanced,Pitcher,Handedness,2022,vs R,5.68,4.26,1.33,0.00,16.0%,12.0%,4.0%,.095,0.79,.118,66.7%,3.74,4.92
