Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
SAN DIEGO PADRES,Matt Beaty,advanced,Batter,Handedness,2022,vs L,0.0%,50.0%,0.00,.500,.500,1.500,2.000,1.000,1.000,1,0.8,.800,434
SAN DIEGO PADRES,Matt Beaty,advanced,Batter,Handedness,2022,vs R,5.3%,13.2%,0.40,.086,.158,.114,.272,.029,.100,-1,-5.3,.135,-16
SAN DIEGO PADRES,Wil Myers,advanced,Batter,Handedness,2022,vs L as R,4.8%,28.6%,0.17,.205,.238,.308,.546,.103,.259,2,-2.4,.238,54
SAN DIEGO PADRES,Wil Myers,advanced,Batter,Handedness,2022,vs R as R,6.5%,28.3%,0.23,.247,.293,.306,.599,.059,.350,7,-3.5,.263,70
SAN DIEGO PADRES,Wil Myers,advanced,Batter,Handedness,2022,vs L,4.8%,28.6%,0.17,.205,.238,.308,.546,.103,.259,2,-2.4,.238,54
SAN DIEGO PADRES,Wil Myers,advanced,Batter,Handedness,2022,vs R,6.5%,28.3%,0.23,.247,.293,.306,.599,.059,.350,7,-3.5,.263,70
SAN DIEGO PADRES,Jurickson Profar,advanced,Batter,Handedness,2022,vs R as L,12.3%,16.0%,0.77,.248,.346,.414,.760,.167,.277,33,5.0,.336,120
SAN DIEGO PADRES,Jurickson Profar,advanced,Batter,Handedness,2022,vs L as R,13.6%,11.0%,1.23,.230,.339,.360,.699,.130,.244,14,0.4,.314,105
SAN DIEGO PADRES,Jurickson Profar,advanced,Batter,Handedness,2022,vs L,13.6%,11.0%,1.23,.230,.339,.360,.699,.130,.244,14,0.4,.314,105
SAN DIEGO PADRES,Jurickson Profar,advanced,Batter,Handedness,2022,vs R,12.3%,16.0%,0.77,.248,.346,.414,.760,.167,.277,33,5.0,.336,120
