Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,EV,LA,Barrel%,oppHandedness,Cluster
OAKLAND ATHLETICS,Sean Murphy,advanced,Batter,Handedness,2022,vs R as R,0.036000000000000004,0.22,0.16,0.246,0.288,0.401,0.689,0.155,0.297,0.244,0.363,0.39399999999999996,0.111,0.079,0.069,0.39399999999999996,0.4,0.20600000000000002,0.18100000000000002,0.5379999999999999,0.281,89.0,14.0,11.1,R,2
OAKLAND ATHLETICS,Nick Allen,advanced,Batter,Handedness,2022,vs R as R,0.098,0.19699999999999998,0.5,0.185,0.279,0.222,0.501,0.037,0.238,0.2,0.475,0.325,0.154,0.0,0.105,0.262,0.31,0.429,0.19,0.69,0.11900000000000001,84.7,5.9,1.5,R,2
ATLANTA BRAVES,Dansby Swanson,advanced,Batter,Handedness,2022,vs L as R,0.13,0.23,0.57,0.302,0.4,0.523,0.923,0.221,0.373,0.27,0.349,0.381,0.0,0.16699999999999998,0.045,0.317,0.413,0.27,0.111,0.49200000000000005,0.397,90.2,16.8,12.0,L,2
ATLANTA BRAVES,Dansby Swanson,advanced,Batter,Handedness,2022,vs R as R,0.055,0.276,0.2,0.295,0.338,0.469,0.807,0.173,0.382,0.228,0.344,0.428,0.091,0.13,0.145,0.406,0.33299999999999996,0.261,0.156,0.5,0.344,90.2,16.8,12.0,R,2
ATLANTA BRAVES,Eddie Rosario,advanced,Batter,Handedness,2022,vs R as L,0.048,0.23800000000000002,0.2,0.102,0.143,0.169,0.312,0.068,0.114,0.08900000000000001,0.489,0.42200000000000004,0.158,0.053,0.091,0.489,0.42200000000000004,0.08900000000000001,0.133,0.622,0.244,87.0,12.1,1.8,R,2
MILWAUKEE BREWERS,Andrew McCutchen,advanced,Batter,Handedness,2022,vs L as R,0.071,0.212,0.33,0.208,0.271,0.39,0.66,0.182,0.228,0.217,0.483,0.3,0.111,0.16699999999999998,0.10300000000000001,0.583,0.2,0.217,0.083,0.5670000000000001,0.35,88.6,11.6,7.6,L,2
MILWAUKEE BREWERS,Andrew McCutchen,advanced,Batter,Handedness,2022,vs R as R,0.083,0.183,0.45,0.274,0.339,0.394,0.733,0.12,0.317,0.174,0.455,0.371,0.113,0.09699999999999999,0.092,0.365,0.419,0.21600000000000003,0.15,0.551,0.299,88.6,11.6,7.6,R,2
MILWAUKEE BREWERS,Jace Peterson,advanced,Batter,Handedness,2022,vs L as L,0.083,0.16699999999999998,0.5,0.286,0.375,0.429,0.804,0.143,0.353,0.235,0.588,0.17600000000000002,0.0,0.0,0.0,0.353,0.41200000000000003,0.235,0.17600000000000002,0.706,0.11800000000000001,89.0,9.6,7.6,L,2
MILWAUKEE BREWERS,Justin Topa,advanced,Batter,Handedness,2022,vs R as L,0.079,0.15,0.53,0.335,0.397,0.636,1.033,0.302,0.346,0.19399999999999998,0.40299999999999997,0.40299999999999997,0.111,0.21,0.049,0.361,0.41100000000000003,0.228,0.134,0.455,0.41100000000000003,88.4898305084745,12.98549152542372,7.5555254237288105,R,2
ST. LOUIS CARDINALS,Lars Nootbaar,advanced,Batter,Handedness,2022,vs L as L,0.077,0.231,0.33,0.182,0.231,0.273,0.503,0.091,0.222,0.125,0.375,0.5,0.0,0.0,0.0,0.667,0.111,0.222,0.222,0.444,0.33299999999999996,90.6,5.2,5.5,L,2
ST. LOUIS CARDINALS,Tyler O'Neill,advanced,Batter,Handedness,2022,vs R as R,0.073,0.298,0.24,0.228,0.278,0.368,0.646,0.14,0.297,0.2,0.45299999999999996,0.34700000000000003,0.121,0.121,0.09300000000000001,0.45299999999999996,0.34700000000000003,0.2,0.158,0.579,0.263,88.8,11.8,9.4,R,2
CHICAGO CUBS,Seiya Suzuki,advanced,Batter,Handedness,2022,vs L as R,0.131,0.14800000000000002,0.89,0.245,0.344,0.509,0.854,0.264,0.244,0.182,0.43200000000000005,0.386,0.0,0.17600000000000002,0.053,0.364,0.364,0.273,0.091,0.591,0.318,89.9,16.2,11.6,L,2
CHICAGO CUBS,Nico Hoerner,advanced,Batter,Handedness,2022,vs L as R,0.025,0.113,0.22,0.321,0.338,0.487,0.825,0.167,0.353,0.217,0.435,0.348,0.125,0.042,0.1,0.391,0.319,0.29,0.174,0.58,0.24600000000000002,88.7,9.6,3.1,L,2
CHICAGO CUBS,Frank Schwindel,advanced,Batter,Handedness,2022,vs R as R,0.062,0.191,0.32,0.23,0.275,0.37,0.645,0.139,0.258,0.203,0.429,0.368,0.163,0.102,0.035,0.466,0.316,0.218,0.195,0.474,0.331,87.9,12.3,5.5,R,2
CHICAGO CUBS,Alec Mills,advanced,Batter,Handedness,2022,vs L as L,0.03,0.263,0.12,0.309,0.343,0.489,0.833,0.181,0.4,0.27899999999999997,0.515,0.20600000000000002,0.14300000000000002,0.214,0.057,0.294,0.397,0.309,0.147,0.529,0.324,88.4898305084745,12.98549152542372,7.5555254237288105,L,2
CHICAGO CUBS,Manuel Rodriguez,advanced,Batter,Handedness,2022,vs L as L,0.086,0.09699999999999999,0.89,0.31,0.366,0.405,0.77,0.095,0.342,0.22399999999999998,0.5529999999999999,0.22399999999999998,0.17600000000000002,0.0,0.095,0.303,0.447,0.25,0.237,0.5,0.263,88.4898305084745,12.98549152542372,7.5555254237288105,L,2
CHICAGO CUBS,Manuel Rodriguez,advanced,Batter,Handedness,2022,vs R as L,0.054000000000000006,0.109,0.5,0.254,0.295,0.375,0.67,0.121,0.263,0.18600000000000003,0.47,0.344,0.068,0.081,0.04,0.363,0.391,0.247,0.163,0.512,0.326,88.4898305084745,12.98549152542372,7.5555254237288105,R,2
ARIZONA DIAMONDBACKS,Jordan Luplow,advanced,Batter,Handedness,2022,vs L as R,0.135,0.27,0.5,0.222,0.324,0.619,0.943,0.397,0.167,0.159,0.341,0.5,0.091,0.364,0.067,0.568,0.25,0.182,0.159,0.409,0.43200000000000005,88.7,16.7,11.8,L,2
LOS ANGELES DODGERS,Freddie Freeman,advanced,Batter,Handedness,2022,vs L as L,0.099,0.248,0.4,0.283,0.364,0.453,0.816,0.17,0.365,0.325,0.41600000000000004,0.26,0.0,0.15,0.031,0.40299999999999997,0.273,0.325,0.065,0.61,0.325,91.4,14.0,10.6,L,2
LOS ANGELES DODGERS,Will Smith,advanced,Batter,Handedness,2022,vs L as R,0.127,0.085,1.5,0.317,0.423,0.55,0.973,0.233,0.3,0.259,0.259,0.48100000000000004,0.077,0.154,0.0,0.29600000000000004,0.444,0.259,0.14800000000000002,0.574,0.278,90.6,19.2,10.7,L,2
LOS ANGELES DODGERS,Jake Lamb,advanced,Batter,Handedness,2022,vs R as L,0.138,0.31,0.44,0.25,0.379,0.625,1.004,0.375,0.308,0.133,0.467,0.4,0.0,0.33299999999999996,0.0,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.0,0.667,0.33299999999999996,93.3,9.5,14.3,R,2
LOS ANGELES DODGERS,Austin Barnes,advanced,Batter,Handedness,2022,vs L as R,0.18600000000000003,0.18600000000000003,1.0,0.114,0.279,0.257,0.536,0.143,0.115,0.07400000000000001,0.48100000000000004,0.444,0.083,0.083,0.0,0.444,0.29600000000000004,0.259,0.14800000000000002,0.444,0.40700000000000003,89.9,12.5,7.1,L,2
LOS ANGELES DODGERS,Danny Duffy,advanced,Batter,Handedness,2022,vs R as L,0.07400000000000001,0.21,0.35,0.311,0.37,0.5,0.87,0.189,0.393,0.2,0.473,0.327,0.0,0.055999999999999994,0.038,0.316,0.40399999999999997,0.281,0.07,0.579,0.35100000000000003,88.4898305084745,12.98549152542372,7.5555254237288105,R,2
LOS ANGELES DODGERS,Victor Gonzalez,advanced,Batter,Handedness,2022,vs L as L,0.03,0.263,0.12,0.309,0.343,0.489,0.833,0.181,0.4,0.27899999999999997,0.515,0.20600000000000002,0.14300000000000002,0.214,0.057,0.294,0.397,0.309,0.147,0.529,0.324,88.4898305084745,12.98549152542372,7.5555254237288105,L,2
