Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,EV,LA,Barrel%,oppHandedness,Cluster
HOUSTON ASTROS,Martin Maldonado,advanced,Batter,Handedness,2022,vs L as R,0.091,0.303,0.3,0.153,0.231,0.356,0.587,0.203,0.167,0.154,0.41,0.436,0.0,0.17600000000000002,0.063,0.525,0.275,0.2,0.15,0.425,0.425,88.4898305084745,12.98549152542372,7.5555254237288105,L,1
OAKLAND ATHLETICS,Tony Kemp,advanced,Batter,Handedness,2022,vs L as L,0.098,0.295,0.33,0.176,0.283,0.196,0.479,0.02,0.265,0.258,0.419,0.32299999999999995,0.1,0.0,0.077,0.4,0.486,0.114,0.114,0.743,0.14300000000000002,83.8,16.3,0.9,L,1
OAKLAND ATHLETICS,Sheldon Neuse,advanced,Batter,Handedness,2022,vs L as R,0.048,0.20199999999999999,0.24,0.213,0.25,0.263,0.513,0.05,0.27,0.079,0.794,0.127,0.0,0.0,0.06,0.33299999999999996,0.365,0.302,0.14300000000000002,0.54,0.317,89.5,1.9,3.2,L,1
OAKLAND ATHLETICS,Sheldon Neuse,advanced,Batter,Handedness,2022,vs R as R,0.084,0.29,0.29,0.25,0.323,0.343,0.665,0.093,0.348,0.253,0.537,0.21100000000000002,0.05,0.15,0.078,0.263,0.368,0.368,0.147,0.568,0.284,89.5,1.9,3.2,R,1
OAKLAND ATHLETICS,Jonah Bride,advanced,Batter,Handedness,2022,vs L as R,0.0,0.0,0.0,0.364,0.364,0.364,0.727,0.0,0.364,0.091,0.545,0.364,0.0,0.0,0.0,0.182,0.636,0.182,0.091,0.727,0.182,86.0,11.7,2.6,L,1
TORONTO BLUE JAYS,George Springer,advanced,Batter,Handedness,2022,vs R as R,0.084,0.198,0.42,0.261,0.335,0.509,0.843,0.248,0.275,0.188,0.431,0.381,0.11599999999999999,0.203,0.09,0.514,0.243,0.243,0.21,0.49700000000000005,0.293,88.4898305084745,12.98549152542372,7.5555254237288105,R,1
TORONTO BLUE JAYS,Matt Chapman,advanced,Batter,Handedness,2022,vs L as R,0.065,0.145,0.44,0.246,0.306,0.439,0.745,0.193,0.261,0.22899999999999998,0.354,0.41700000000000004,0.1,0.1,0.0,0.43799999999999994,0.396,0.16699999999999998,0.10400000000000001,0.5,0.396,92.4,21.7,12.6,L,1
TORONTO BLUE JAYS,Matt Chapman,advanced,Batter,Handedness,2022,vs R as R,0.09300000000000001,0.27399999999999997,0.34,0.214,0.293,0.402,0.695,0.188,0.253,0.149,0.311,0.54,0.195,0.126,0.08,0.429,0.335,0.23600000000000002,0.18600000000000003,0.40399999999999997,0.41,92.4,21.7,12.6,R,1
TORONTO BLUE JAYS,Cavan Biggio,advanced,Batter,Handedness,2022,vs L as L,0.185,0.33299999999999996,0.56,0.15,0.37,0.25,0.62,0.1,0.273,0.273,0.273,0.455,0.2,0.0,0.33299999999999996,0.636,0.182,0.182,0.182,0.455,0.364,88.4,19.6,11.0,L,1
TORONTO BLUE JAYS,Raimel Tapia,advanced,Batter,Handedness,2022,vs L as L,0.057,0.314,0.18,0.25,0.286,0.313,0.598,0.063,0.364,0.455,0.455,0.091,0.0,0.0,0.1,0.318,0.273,0.409,0.273,0.455,0.273,88.1,4.6,6.3,L,1
ATLANTA BRAVES,Orlando Arcia,advanced,Batter,Handedness,2022,vs R as R,0.11,0.24,0.46,0.276,0.36,0.414,0.774,0.138,0.344,0.14300000000000002,0.556,0.302,0.0,0.158,0.14300000000000002,0.391,0.359,0.25,0.125,0.531,0.344,90.4,7.0,6.5,R,1
MILWAUKEE BREWERS,Mike Brosseau,advanced,Batter,Handedness,2022,vs R as R,0.132,0.289,0.45,0.212,0.316,0.303,0.619,0.091,0.286,0.091,0.727,0.182,0.0,0.25,0.0,0.5,0.318,0.182,0.136,0.591,0.273,88.0,12.9,6.7,R,1
MILWAUKEE BREWERS,Miguel Sanchez,advanced,Batter,Handedness,2022,vs R as L,0.07400000000000001,0.21,0.35,0.311,0.37,0.5,0.87,0.189,0.393,0.2,0.473,0.327,0.0,0.055999999999999994,0.038,0.316,0.40399999999999997,0.281,0.07,0.579,0.35100000000000003,88.4898305084745,12.98549152542372,7.5555254237288105,R,1
MILWAUKEE BREWERS,Justin Topa,advanced,Batter,Handedness,2022,vs L as L,0.03,0.263,0.12,0.309,0.343,0.489,0.833,0.181,0.4,0.27899999999999997,0.515,0.20600000000000002,0.14300000000000002,0.214,0.057,0.294,0.397,0.309,0.147,0.529,0.324,88.4898305084745,12.98549152542372,7.5555254237288105,L,1
ST. LOUIS CARDINALS,Dylan Carlson,advanced,Batter,Handedness,2022,vs R as L,0.085,0.17,0.5,0.228,0.297,0.354,0.652,0.127,0.261,0.2,0.47700000000000004,0.32299999999999995,0.12,0.06,0.054000000000000006,0.37799999999999995,0.385,0.237,0.192,0.551,0.256,85.3,11.8,4.6,R,1
ST. LOUIS CARDINALS,Nolan Arenado,advanced,Batter,Handedness,2022,vs L as R,0.095,0.079,1.2,0.25,0.333,0.643,0.976,0.393,0.178,0.157,0.275,0.569,0.172,0.207,0.0,0.5489999999999999,0.294,0.157,0.13699999999999998,0.49,0.373,88.2,23.2,7.3,L,1
ST. LOUIS CARDINALS,Tommy Edman,advanced,Batter,Handedness,2022,vs L as R,0.046,0.138,0.33,0.289,0.322,0.41,0.731,0.12,0.329,0.254,0.423,0.324,0.217,0.043,0.067,0.366,0.39399999999999996,0.239,0.239,0.451,0.31,88.5,8.3,6.2,L,1
CHICAGO CUBS,Willson Contreras,advanced,Batter,Handedness,2022,vs R as R,0.11800000000000001,0.19699999999999998,0.6,0.255,0.374,0.4,0.774,0.145,0.306,0.157,0.536,0.307,0.128,0.128,0.098,0.431,0.34,0.22899999999999998,0.14400000000000002,0.41200000000000003,0.444,91.1,9.0,9.5,R,1
CHICAGO CUBS,Ian Happ,advanced,Batter,Handedness,2022,vs L as R,0.075,0.25,0.3,0.347,0.413,0.528,0.94,0.181,0.46,0.212,0.5379999999999999,0.25,0.077,0.154,0.179,0.462,0.28800000000000003,0.25,0.231,0.48100000000000004,0.28800000000000003,89.8,10.3,7.5,L,1
CHICAGO CUBS,David Bote,advanced,Batter,Handedness,2022,vs L as R,0.182,0.455,0.4,0.375,0.545,0.625,1.17,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.0,0.667,0.33299999999999996,92.3,11.1,7.1,L,1
CHICAGO CUBS,P.J. Higgins,advanced,Batter,Handedness,2022,vs L as R,0.114,0.114,1.0,0.226,0.314,0.419,0.734,0.194,0.231,0.115,0.5770000000000001,0.308,0.0,0.125,0.0,0.40700000000000003,0.37,0.222,0.185,0.519,0.29600000000000004,86.1,12.9,3.2,L,1
CHICAGO CUBS,Ethan Roberts,advanced,Batter,Handedness,2022,vs L as R,0.146,0.134,1.09,0.377,0.476,0.551,1.026,0.174,0.429,0.172,0.517,0.31,0.055999999999999994,0.111,0.2,0.36200000000000004,0.345,0.293,0.19,0.569,0.24100000000000002,88.4898305084745,12.98549152542372,7.5555254237288105,L,1
ARIZONA DIAMONDBACKS,Daulton Varsho,advanced,Batter,Handedness,2022,vs L as L,0.013999999999999999,0.27,0.05,0.211,0.23,0.254,0.483,0.042,0.288,0.156,0.467,0.37799999999999995,0.235,0.0,0.048,0.5379999999999999,0.25,0.212,0.17300000000000001,0.596,0.231,87.9,13.6,9.2,L,1
ARIZONA DIAMONDBACKS,Geraldo Perdomo,advanced,Batter,Handedness,2022,vs R as L,0.129,0.21899999999999997,0.59,0.18,0.295,0.267,0.562,0.087,0.23,0.19699999999999998,0.467,0.336,0.122,0.049,0.0,0.457,0.318,0.225,0.155,0.597,0.248,84.9,11.8,2.8,R,1
ARIZONA DIAMONDBACKS,Jose Herrera,advanced,Batter,Handedness,2022,vs L as R,0.053,0.263,0.2,0.333,0.368,0.333,0.702,0.0,0.462,0.154,0.769,0.077,0.0,0.0,0.1,0.385,0.308,0.308,0.231,0.6920000000000001,0.077,84.8,4.2,0.0,L,1
ARIZONA DIAMONDBACKS,Nick Ahmed,advanced,Batter,Handedness,2022,vs R as R,0.053,0.237,0.22,0.306,0.342,0.528,0.87,0.222,0.36,0.154,0.5770000000000001,0.26899999999999996,0.0,0.28600000000000003,0.0,0.444,0.259,0.29600000000000004,0.111,0.63,0.259,86.9,4.4,5.4,R,1
LOS ANGELES DODGERS,Mookie Betts,advanced,Batter,Handedness,2022,vs L as R,0.099,0.165,0.6,0.309,0.374,0.556,0.929,0.247,0.323,0.19399999999999998,0.373,0.433,0.069,0.172,0.12,0.46299999999999997,0.284,0.254,0.179,0.522,0.299,90.0,18.0,9.8,L,1
LOS ANGELES DODGERS,Trea Turner,advanced,Batter,Handedness,2022,vs L as R,0.087,0.183,0.47,0.293,0.365,0.5,0.865,0.207,0.329,0.203,0.405,0.392,0.0,0.138,0.133,0.486,0.311,0.203,0.135,0.486,0.37799999999999995,90.1,8.9,7.7,L,1
LOS ANGELES DODGERS,Justin Turner,advanced,Batter,Handedness,2022,vs R as R,0.094,0.153,0.61,0.255,0.323,0.428,0.751,0.173,0.276,0.25,0.301,0.449,0.08900000000000001,0.076,0.0,0.341,0.375,0.284,0.114,0.58,0.307,88.9,19.0,8.4,R,1
LOS ANGELES DODGERS,Cody Bellinger,advanced,Batter,Handedness,2022,vs L as L,0.05,0.29,0.17,0.191,0.23,0.287,0.517,0.096,0.262,0.16699999999999998,0.439,0.39399999999999996,0.115,0.038,0.034,0.424,0.364,0.212,0.106,0.515,0.379,90.2,21.1,8.7,L,1
LOS ANGELES DODGERS,Danny Duffy,advanced,Batter,Handedness,2022,vs L as L,0.038,0.34600000000000003,0.11,0.16,0.192,0.2,0.392,0.04,0.25,0.188,0.563,0.25,0.25,0.0,0.111,0.125,0.43799999999999994,0.43799999999999994,0.188,0.813,0.0,88.4898305084745,12.98549152542372,7.5555254237288105,L,1
SAN FRANCISCO GIANTS,LaMonte Wade Jr.,advanced,Batter,Handedness,2022,vs L as L,0.0,0.083,0.0,0.091,0.083,0.091,0.174,0.0,0.091,0.182,0.364,0.455,0.0,0.0,0.0,0.455,0.273,0.273,0.273,0.727,0.0,88.2,15.0,6.1,L,1
SAN FRANCISCO GIANTS,Brandon Crawford,advanced,Batter,Handedness,2022,vs R as L,0.085,0.221,0.39,0.216,0.296,0.347,0.643,0.131,0.262,0.15,0.489,0.361,0.188,0.083,0.015,0.38799999999999996,0.38799999999999996,0.22399999999999998,0.19399999999999998,0.575,0.231,87.3,14.0,7.7,R,1
SAN FRANCISCO GIANTS,Darin Ruf,advanced,Batter,Handedness,2022,vs L as R,0.127,0.255,0.5,0.259,0.373,0.471,0.843,0.212,0.309,0.2,0.4,0.4,0.083,0.20800000000000002,0.042,0.5670000000000001,0.3,0.133,0.11699999999999999,0.517,0.36700000000000005,89.9,13.2,8.2,L,1
