Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,EV,LA,Barrel%,oppHandedness,Cluster
HOUSTON ASTROS,Korey Lee,advanced,Batter,Handedness,2022,vs L as R,0.0,0.0,0.0,0.333,0.333,0.333,0.667,0.0,0.333,0.0,0.667,0.33299999999999996,0.0,0.0,0.0,0.667,0.0,0.33299999999999996,0.667,0.33299999999999996,0.0,88.4898305084745,12.98549152542372,7.5555254237288105,L,10
TORONTO BLUE JAYS,Lourdes Gurriel Jr.,advanced,Batter,Handedness,2022,vs R as R,0.068,0.16,0.43,0.314,0.372,0.465,0.837,0.15,0.361,0.213,0.40399999999999997,0.38299999999999995,0.083,0.069,0.105,0.42,0.293,0.287,0.149,0.495,0.35600000000000004,90.6,12.0,4.4,R,10
MILWAUKEE BREWERS,Hunter Renfroe,advanced,Batter,Handedness,2022,vs L as R,0.067,0.267,0.25,0.245,0.3,0.566,0.866,0.321,0.235,0.10300000000000001,0.462,0.436,0.059000000000000004,0.294,0.111,0.385,0.385,0.231,0.205,0.462,0.33299999999999996,89.7,15.7,13.6,L,10
ST. LOUIS CARDINALS,Austin Romine,advanced,Batter,Handedness,2022,vs R as R,0.0,0.313,0.0,0.133,0.133,0.133,0.267,0.0,0.2,0.1,0.3,0.6,0.0,0.0,0.0,0.455,0.455,0.091,0.182,0.727,0.091,88.7,15.4,0.0,R,10
ARIZONA DIAMONDBACKS,Ketel Marte,advanced,Batter,Handedness,2022,vs L as R,0.06,0.133,0.45,0.316,0.373,0.474,0.847,0.158,0.359,0.231,0.385,0.385,0.04,0.04,0.0,0.462,0.385,0.154,0.12300000000000001,0.47700000000000004,0.4,89.9,12.5,5.0,L,10
ARIZONA DIAMONDBACKS,Carson Kelly,advanced,Batter,Handedness,2022,vs R as R,0.051,0.228,0.22,0.153,0.203,0.236,0.439,0.083,0.167,0.08900000000000001,0.48200000000000004,0.429,0.083,0.083,0.037000000000000005,0.446,0.446,0.107,0.196,0.5710000000000001,0.23199999999999998,88.0,15.2,6.5,R,10
LOS ANGELES DODGERS,Victor Gonzalez,advanced,Batter,Handedness,2022,vs R as L,0.079,0.15,0.53,0.335,0.397,0.636,1.033,0.302,0.346,0.19399999999999998,0.40299999999999997,0.40299999999999997,0.111,0.21,0.049,0.361,0.41100000000000003,0.228,0.134,0.455,0.41100000000000003,88.4898305084745,12.98549152542372,7.5555254237288105,R,10
LOS ANGELES DODGERS,Blake Treinen,advanced,Batter,Handedness,2022,vs R as L,0.09300000000000001,0.285,0.33,0.25,0.318,0.414,0.732,0.164,0.343,0.272,0.38799999999999996,0.34,0.057,0.086,0.05,0.449,0.299,0.252,0.15,0.43,0.42100000000000004,88.4898305084745,12.98549152542372,7.5555254237288105,R,10
SAN FRANCISCO GIANTS,Brandon Belt,advanced,Batter,Handedness,2022,vs R as L,0.11699999999999999,0.276,0.43,0.25,0.352,0.427,0.779,0.177,0.325,0.27699999999999997,0.24100000000000002,0.48200000000000004,0.025,0.125,0.05,0.424,0.282,0.294,0.11800000000000001,0.541,0.341,89.0,22.9,15.1,R,10
SAN FRANCISCO GIANTS,Yermin Mercedes,advanced,Batter,Handedness,2022,vs R as R,0.308,0.154,2.0,0.222,0.462,0.333,0.795,0.111,0.286,0.14300000000000002,0.28600000000000003,0.5710000000000001,0.0,0.0,0.0,0.0,0.5710000000000001,0.429,0.28600000000000003,0.5710000000000001,0.14300000000000002,88.4898305084745,12.98549152542372,7.5555254237288105,R,10
