Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,EV,LA,Barrel%,oppHandedness,Cluster
HOUSTON ASTROS,Kyle Tucker,advanced,Batter,Handedness,2022,vs R as L,0.142,0.174,0.82,0.257,0.361,0.481,0.842,0.225,0.266,0.22,0.293,0.48700000000000004,0.08199999999999999,0.151,0.023,0.42700000000000005,0.34700000000000003,0.22699999999999998,0.18,0.473,0.34700000000000003,89.5,21.4,11.3,R,3
HOUSTON ASTROS,Alex Bregman,advanced,Batter,Handedness,2022,vs R as R,0.149,0.128,1.17,0.276,0.391,0.495,0.886,0.219,0.276,0.217,0.337,0.446,0.122,0.135,0.071,0.518,0.259,0.223,0.139,0.512,0.349,89.8,18.9,7.4,R,3
HOUSTON ASTROS,J.J. Matijevic,advanced,Batter,Handedness,2022,vs L as L,0.16699999999999998,0.5,0.33,0.0,0.167,0.0,0.167,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,94.5,16.7,6.3,L,3
HOUSTON ASTROS,Jason Castro,advanced,Batter,Handedness,2022,vs L as L,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33299999999999996,0.667,0.0,0.0,0.0,0.33299999999999996,0.0,0.667,0.33299999999999996,0.667,0.0,88.6,10.0,5.1,L,3
HOUSTON ASTROS,Michael Brantley,advanced,Batter,Handedness,2022,vs R as L,0.126,0.1,1.26,0.285,0.374,0.436,0.81,0.152,0.301,0.252,0.38799999999999996,0.361,0.019,0.075,0.035,0.361,0.408,0.231,0.122,0.537,0.34,88.4898305084745,12.98549152542372,7.5555254237288105,R,3
HOUSTON ASTROS,Blake Taylor,advanced,Batter,Handedness,2022,vs R as L,0.07400000000000001,0.21,0.35,0.311,0.37,0.5,0.87,0.189,0.393,0.2,0.473,0.327,0.0,0.055999999999999994,0.038,0.316,0.40399999999999997,0.281,0.07,0.579,0.35100000000000003,88.4898305084745,12.98549152542372,7.5555254237288105,R,3
OAKLAND ATHLETICS,Elvis Andrus,advanced,Batter,Handedness,2022,vs R as R,0.079,0.138,0.57,0.226,0.291,0.366,0.656,0.14,0.247,0.158,0.424,0.418,0.136,0.061,0.015,0.418,0.32299999999999995,0.259,0.209,0.525,0.266,88.2,14.2,3.6,R,3
OAKLAND ATHLETICS,Tony Kemp,advanced,Batter,Handedness,2022,vs R as L,0.081,0.102,0.8,0.216,0.291,0.284,0.575,0.069,0.233,0.175,0.402,0.423,0.175,0.025,0.039,0.426,0.33,0.244,0.188,0.629,0.183,83.8,16.3,0.9,R,3
TORONTO BLUE JAYS,Bo Bichette,advanced,Batter,Handedness,2022,vs R as R,0.052000000000000005,0.24,0.22,0.269,0.308,0.438,0.746,0.169,0.326,0.196,0.496,0.309,0.042,0.16899999999999998,0.018000000000000002,0.313,0.396,0.29100000000000004,0.096,0.552,0.35200000000000004,91.6,8.5,10.0,R,3
TORONTO BLUE JAYS,Santiago Espinal,advanced,Batter,Handedness,2022,vs L as R,0.098,0.122,0.8,0.356,0.415,0.575,0.99,0.219,0.377,0.281,0.406,0.313,0.1,0.15,0.038,0.5,0.344,0.156,0.156,0.531,0.313,86.8,14.5,4.3,L,3
ATLANTA BRAVES,Marcell Ozuna,advanced,Batter,Handedness,2022,vs R as R,0.066,0.214,0.31,0.242,0.292,0.487,0.779,0.246,0.244,0.174,0.348,0.478,0.125,0.182,0.031,0.402,0.391,0.207,0.168,0.457,0.375,89.8,15.6,14.3,R,3
ATLANTA BRAVES,Michael Harris II,advanced,Batter,Handedness,2022,vs R as L,0.027000000000000003,0.204,0.13,0.306,0.336,0.565,0.901,0.259,0.333,0.212,0.518,0.271,0.043,0.304,0.068,0.32899999999999996,0.435,0.235,0.212,0.41200000000000003,0.376,89.4,5.3,10.2,R,3
ATLANTA BRAVES,William Contreras,advanced,Batter,Handedness,2022,vs L as R,0.154,0.212,0.73,0.295,0.404,0.591,0.995,0.295,0.333,0.182,0.515,0.303,0.2,0.3,0.059000000000000004,0.39399999999999996,0.455,0.152,0.152,0.364,0.485,90.3,5.1,16.0,L,3
