Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,EV,LA,Barrel%,oppHandedness,Cluster
HOUSTON ASTROS,Jeremy Pena,advanced,Batter,Handedness,2022,vs L as R,0.044000000000000004,0.17600000000000002,0.25,0.286,0.328,0.54,0.868,0.254,0.298,0.157,0.451,0.392,0.05,0.2,0.304,0.51,0.196,0.294,0.13699999999999998,0.569,0.294,88.4898305084745,12.98549152542372,7.5555254237288105,L,15
HOUSTON ASTROS,Jeremy Pena,advanced,Batter,Handedness,2022,vs R as R,0.051,0.255,0.2,0.257,0.306,0.43,0.736,0.173,0.306,0.248,0.395,0.35700000000000004,0.13,0.174,0.098,0.47,0.33299999999999996,0.19699999999999998,0.152,0.583,0.265,88.4898305084745,12.98549152542372,7.5555254237288105,R,15
HOUSTON ASTROS,Martin Maldonado,advanced,Batter,Handedness,2022,vs R as R,0.071,0.344,0.21,0.158,0.229,0.295,0.524,0.137,0.207,0.198,0.36,0.442,0.132,0.132,0.0,0.375,0.364,0.261,0.159,0.568,0.273,88.4898305084745,12.98549152542372,7.5555254237288105,R,15
OAKLAND ATHLETICS,Dermis Garcia,advanced,Batter,Handedness,2022,vs R as R,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,88.4898305084745,12.98549152542372,7.5555254237288105,R,15
TORONTO BLUE JAYS,Teoscar Hernandez,advanced,Batter,Handedness,2022,vs L as R,0.064,0.23399999999999999,0.27,0.273,0.319,0.568,0.887,0.295,0.3,0.182,0.39399999999999996,0.424,0.28600000000000003,0.214,0.0,0.485,0.273,0.242,0.152,0.39399999999999996,0.455,88.4898305084745,12.98549152542372,7.5555254237288105,L,15
TORONTO BLUE JAYS,Danny Jansen,advanced,Batter,Handedness,2022,vs R as R,0.040999999999999995,0.184,0.22,0.239,0.286,0.696,0.981,0.457,0.133,0.054000000000000006,0.37799999999999995,0.568,0.095,0.33299999999999996,0.14300000000000002,0.595,0.297,0.10800000000000001,0.18899999999999997,0.324,0.486,89.0,22.1,21.3,R,15
TORONTO BLUE JAYS,Zack Collins,advanced,Batter,Handedness,2022,vs R as L,0.094,0.375,0.25,0.211,0.297,0.491,0.788,0.281,0.276,0.273,0.091,0.636,0.048,0.19,0.0,0.485,0.242,0.273,0.061,0.5760000000000001,0.364,93.2,26.7,13.2,R,15
TORONTO BLUE JAYS,Raimel Tapia,advanced,Batter,Handedness,2022,vs R as L,0.033,0.166,0.2,0.265,0.29,0.385,0.675,0.12,0.304,0.2,0.509,0.29100000000000004,0.083,0.083,0.071,0.35700000000000004,0.39899999999999997,0.244,0.179,0.512,0.31,88.1,4.6,6.3,R,15
TORONTO BLUE JAYS,Bradley Zimmer,advanced,Batter,Handedness,2022,vs R as L,0.068,0.35600000000000004,0.19,0.115,0.207,0.288,0.495,0.173,0.138,0.067,0.433,0.5,0.067,0.133,0.077,0.313,0.43799999999999994,0.25,0.125,0.531,0.344,87.6,10.1,12.2,R,15
ATLANTA BRAVES,Robinson Cano,advanced,Batter,Handedness,2022,vs R as L,0.042,0.282,0.15,0.162,0.197,0.206,0.403,0.044,0.213,0.188,0.5,0.313,0.133,0.067,0.042,0.375,0.25,0.375,0.188,0.5,0.313,88.4898305084745,12.98549152542372,7.5555254237288105,R,15
MILWAUKEE BREWERS,Miguel Sanchez,advanced,Batter,Handedness,2022,vs L as L,0.038,0.34600000000000003,0.11,0.16,0.192,0.2,0.392,0.04,0.25,0.188,0.563,0.25,0.25,0.0,0.111,0.125,0.43799999999999994,0.43799999999999994,0.188,0.813,0.0,88.4898305084745,12.98549152542372,7.5555254237288105,L,15
ST. LOUIS CARDINALS,Juan Yepez,advanced,Batter,Handedness,2022,vs L as R,0.08900000000000001,0.222,0.4,0.231,0.289,0.333,0.622,0.103,0.267,0.09699999999999999,0.258,0.645,0.1,0.05,0.0,0.32299999999999995,0.452,0.226,0.29,0.484,0.226,87.5,18.2,10.2,L,15
CHICAGO CUBS,Rafael Ortega,advanced,Batter,Handedness,2022,vs R as L,0.126,0.212,0.6,0.257,0.35,0.396,0.746,0.139,0.314,0.231,0.336,0.434,0.081,0.065,0.021,0.49,0.28300000000000003,0.228,0.145,0.5660000000000001,0.29,87.7,17.3,5.1,R,15
CHICAGO CUBS,Alfonso Rivas,advanced,Batter,Handedness,2022,vs L as L,0.083,0.542,0.15,0.048,0.125,0.048,0.173,0.0,0.111,0.111,0.778,0.111,0.0,0.0,0.0,0.222,0.444,0.33299999999999996,0.444,0.444,0.111,88.4898305084745,12.98549152542372,7.5555254237288105,L,15
CHICAGO CUBS,Alfonso Rivas,advanced,Batter,Handedness,2022,vs R as L,0.10099999999999999,0.27,0.38,0.269,0.351,0.377,0.728,0.108,0.364,0.281,0.494,0.225,0.0,0.15,0.068,0.341,0.35200000000000004,0.308,0.14300000000000002,0.5710000000000001,0.28600000000000003,88.4898305084745,12.98549152542372,7.5555254237288105,R,15
CHICAGO CUBS,Yan Gomes,advanced,Batter,Handedness,2022,vs L as R,0.016,0.18,0.09,0.169,0.18,0.237,0.418,0.068,0.188,0.184,0.51,0.306,0.133,0.067,0.0,0.449,0.38799999999999996,0.163,0.204,0.469,0.327,84.8,6.5,2.3,L,15
CHICAGO CUBS,Frank Schwindel,advanced,Batter,Handedness,2022,vs L as R,0.06,0.22399999999999998,0.27,0.254,0.299,0.429,0.727,0.175,0.289,0.20800000000000002,0.43799999999999994,0.354,0.11800000000000001,0.17600000000000002,0.048,0.5,0.292,0.20800000000000002,0.16699999999999998,0.604,0.22899999999999998,87.9,12.3,5.5,L,15
CHICAGO CUBS,Nick Madrigal,advanced,Batter,Handedness,2022,vs R as R,0.069,0.19399999999999998,0.36,0.212,0.278,0.242,0.52,0.03,0.269,0.192,0.5770000000000001,0.231,0.083,0.0,0.067,0.327,0.34600000000000003,0.327,0.231,0.5770000000000001,0.192,86.4,-0.6,0.0,R,15
ARIZONA DIAMONDBACKS,Ketel Marte,advanced,Batter,Handedness,2022,vs R as L,0.145,0.188,0.77,0.242,0.355,0.409,0.764,0.167,0.287,0.14300000000000002,0.48100000000000004,0.377,0.086,0.086,0.027000000000000003,0.439,0.361,0.2,0.161,0.5479999999999999,0.29,89.9,12.5,5.0,R,15
ARIZONA DIAMONDBACKS,Christian Walker,advanced,Batter,Handedness,2022,vs L as R,0.165,0.11800000000000001,1.4,0.3,0.412,0.614,1.026,0.314,0.286,0.23,0.32799999999999996,0.44299999999999995,0.037000000000000005,0.185,0.05,0.475,0.311,0.213,0.115,0.541,0.344,90.3,17.1,14.6,L,15
ARIZONA DIAMONDBACKS,Jose Herrera,advanced,Batter,Handedness,2022,vs R as L,0.084,0.27699999999999997,0.3,0.176,0.247,0.203,0.45,0.027,0.255,0.16,0.6,0.24,0.33299999999999996,0.0,0.0,0.45299999999999996,0.34,0.20800000000000002,0.132,0.679,0.18899999999999997,84.8,4.2,0.0,R,15
ARIZONA DIAMONDBACKS,Jordan Luplow,advanced,Batter,Handedness,2022,vs R as R,0.05,0.287,0.17,0.151,0.225,0.315,0.54,0.164,0.17,0.18,0.4,0.42,0.095,0.14300000000000002,0.0,0.5,0.26,0.24,0.18,0.44,0.38,88.7,16.7,11.8,R,15
LOS ANGELES DODGERS,Freddie Freeman,advanced,Batter,Handedness,2022,vs R as L,0.109,0.131,0.83,0.323,0.397,0.536,0.933,0.213,0.347,0.27699999999999997,0.361,0.361,0.027000000000000003,0.12300000000000001,0.096,0.322,0.342,0.337,0.099,0.54,0.361,91.4,14.0,10.6,R,15
LOS ANGELES DODGERS,Jimmy Nelson,advanced,Batter,Handedness,2022,vs L as R,0.083,0.345,0.24,0.237,0.31,0.539,0.849,0.303,0.293,0.149,0.17,0.6809999999999999,0.031,0.188,0.125,0.489,0.213,0.298,0.17,0.447,0.38299999999999995,88.4898305084745,12.98549152542372,7.5555254237288105,L,15
SAN FRANCISCO GIANTS,LaMonte Wade Jr.,advanced,Batter,Handedness,2022,vs R as L,0.14,0.158,0.89,0.213,0.351,0.362,0.713,0.149,0.222,0.158,0.447,0.395,0.2,0.133,0.0,0.368,0.395,0.237,0.184,0.5529999999999999,0.263,88.2,15.0,6.1,R,15
SAN FRANCISCO GIANTS,Joc Pederson,advanced,Batter,Handedness,2022,vs L as L,0.028999999999999998,0.294,0.1,0.219,0.235,0.438,0.673,0.219,0.238,0.043,0.522,0.435,0.0,0.2,0.16699999999999998,0.348,0.348,0.304,0.087,0.522,0.391,93.8,14.4,17.5,L,15
SAN FRANCISCO GIANTS,Brandon Belt,advanced,Batter,Handedness,2022,vs L as L,0.2,0.25,0.8,0.161,0.35,0.258,0.608,0.097,0.2,0.048,0.429,0.524,0.182,0.091,0.111,0.33299999999999996,0.381,0.28600000000000003,0.28600000000000003,0.524,0.19,89.0,22.9,15.1,L,15
SAN FRANCISCO GIANTS,Curt Casali,advanced,Batter,Handedness,2022,vs R as R,0.11,0.297,0.37,0.19,0.286,0.241,0.526,0.051,0.269,0.264,0.358,0.377,0.15,0.05,0.053,0.491,0.302,0.20800000000000002,0.20800000000000002,0.585,0.20800000000000002,87.1,21.6,5.4,R,15
