Pitcher,Pitcher_hand,Pitcher_team,Team,Away/Home,Opponent,Date,Batter,Batter_hand,Batter_team,Player,Season,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,GB/FB,LD%,GB%,FB%,Opp_BB%,Opp_K%,Opp_BB/K,Opp_AVG,Opp_OBP,Opp_SLG,Opp_OPS,Opp_ISO,Opp_BABIP,Opp_wRC,Opp_wRAA,Opp_wOBA,Opp_wRC+,Opp_GB/FB,Opp_LD%,Opp_GB%,Opp_FB%,High_GB/FB,Low_GB/FB,Opp_High_GB/FB,Opp_Low_GB/FB
Chris Sale,L,BOS,BOS,Away,NYY,2022-07-17,DJ LeMahieu,R,NYY,,,4.91,2.45,2.0,0.0,13.3%,6.7%,6.7%,0.214,1.09,0.25,100.0%,2.84,4.06,1.67,33.3%,41.7%,25.0%,11.2%,11.2%,1.0,0.294,0.388,0.471,0.858,0.176,0.3,17,5.3,0.378,150,1.63,14.9%,52.7%,32.4%,0,0,0,0
Chris Sale,L,BOS,BOS,Away,NYY,2022-07-17,Aaron Judge,R,NYY,,,4.91,2.45,2.0,0.0,13.3%,6.7%,6.7%,0.214,1.09,0.25,100.0%,2.84,4.06,1.67,33.3%,41.7%,25.0%,11.0%,31.2%,0.35,0.247,0.324,0.581,0.905,0.333,0.264,18,5.1,0.369,143,1.0,16.1%,41.9%,41.9%,0,0,0,0
Chris Sale,L,BOS,BOS,Away,NYY,2022-07-17,Anthony Rizzo,L,NYY,,,20.25,0.0,3.0,0.0,75.0%,0.0%,75.0%,0.0,0.0,0.0,100.0%,-1.39,-1.39,1.0,0.0%,100.0%,0.0%,10.1%,16.2%,0.63,0.218,0.313,0.494,0.807,0.276,0.2,14,3.0,0.349,129,0.79,16.9%,36.6%,46.5%,0,0,0,0
Chris Sale,L,BOS,BOS,Away,NYY,2022-07-17,Gleyber Torres,R,NYY,,,4.91,2.45,2.0,0.0,13.3%,6.7%,6.7%,0.214,1.09,0.25,100.0%,2.84,4.06,1.67,33.3%,41.7%,25.0%,5.7%,19.3%,0.29,0.293,0.333,0.659,0.992,0.366,0.281,18,7.3,0.415,176,0.45,15.4%,26.2%,58.5%,0,0,0,1
Chris Sale,L,BOS,BOS,Away,NYY,2022-07-17,Matt Carpenter,L,NYY,,,20.25,0.0,3.0,0.0,75.0%,0.0%,75.0%,0.0,0.0,0.0,100.0%,-1.39,-1.39,1.0,0.0%,100.0%,0.0%,12.5%,37.5%,0.33,0.35,0.458,0.85,1.308,0.5,0.5,7,4.4,0.538,262,0.4,36.4%,18.2%,45.5%,0,0,0,1
Chris Sale,L,BOS,BOS,Away,NYY,2022-07-17,Aaron Hicks,R,NYY,,,4.91,2.45,2.0,0.0,13.3%,6.7%,6.7%,0.214,1.09,0.25,100.0%,2.84,4.06,1.67,33.3%,41.7%,25.0%,13.9%,24.1%,0.58,0.254,0.367,0.328,0.695,0.075,0.34,9,0.3,0.315,106,1.77,25.0%,47.9%,27.1%,0,0,0,0
Chris Sale,L,BOS,BOS,Away,NYY,2022-07-17,Isiah Kiner-Falefa,R,NYY,,,4.91,2.45,2.0,0.0,13.3%,6.7%,6.7%,0.214,1.09,0.25,100.0%,2.84,4.06,1.67,33.3%,41.7%,25.0%,6.0%,13.4%,0.44,0.27,0.313,0.317,0.631,0.048,0.315,6,-1.8,0.276,79,4.57,27.8%,59.3%,13.0%,0,0,1,0
Chris Sale,L,BOS,BOS,Away,NYY,2022-07-17,Tim Locastro,R,NYY,,,4.91,2.45,2.0,0.0,13.3%,6.7%,6.7%,0.214,1.09,0.25,100.0%,2.84,4.06,1.67,33.3%,41.7%,25.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Chris Sale,L,BOS,BOS,Away,NYY,2022-07-17,Kyle Higashioka,R,NYY,,,4.91,2.45,2.0,0.0,13.3%,6.7%,6.7%,0.214,1.09,0.25,100.0%,2.84,4.06,1.67,33.3%,41.7%,25.0%,4.0%,22.0%,0.18,0.191,0.24,0.362,0.602,0.17,0.206,4,-1.9,0.264,70,0.58,16.7%,30.6%,52.8%,0,0,0,1
Gerrit Cole,R,NYY,NYY,Home,BOS,2022-07-17,Jarren Duran,L,BOS,,,12.34,3.22,3.83,1.61,36.3%,9.5%,26.8%,0.14,0.83,0.16,85.0%,3.77,3.07,0.65,11.7%,35.0%,53.4%,7.7%,21.8%,0.35,0.31,0.372,0.507,0.879,0.197,0.396,13,4.3,0.379,145,1.47,19.2%,48.1%,32.7%,0,1,0,0
Gerrit Cole,R,NYY,NYY,Home,BOS,2022-07-17,Rafael Devers,L,BOS,,,12.34,3.22,3.83,1.61,36.3%,9.5%,26.8%,0.14,0.83,0.16,85.0%,3.77,3.07,0.65,11.7%,35.0%,53.4%,8.0%,15.2%,0.53,0.331,0.394,0.623,1.017,0.293,0.344,55,24.9,0.428,180,1.0,19.2%,40.4%,40.4%,0,1,0,0
Gerrit Cole,R,NYY,NYY,Home,BOS,2022-07-17,Xander Bogaerts,R,BOS,,,10.61,1.93,5.5,1.13,28.3%,5.2%,23.2%,0.241,1.16,0.313,83.6%,3.07,2.65,1.71,20.8%,50.0%,29.2%,8.6%,21.5%,0.4,0.297,0.366,0.423,0.788,0.126,0.368,40,7.8,0.345,122,1.36,24.2%,43.7%,32.1%,0,0,0,0
Gerrit Cole,R,NYY,NYY,Home,BOS,2022-07-17,J.D. Martinez,R,BOS,,,10.61,1.93,5.5,1.13,28.3%,5.2%,23.2%,0.241,1.16,0.313,83.6%,3.07,2.65,1.71,20.8%,50.0%,29.2%,6.8%,25.0%,0.27,0.293,0.348,0.464,0.813,0.172,0.373,39,8.9,0.352,127,1.14,28.4%,38.1%,33.5%,0,0,0,0
Gerrit Cole,R,NYY,NYY,Home,BOS,2022-07-17,Alex Verdugo,L,BOS,,,12.34,3.22,3.83,1.61,36.3%,9.5%,26.8%,0.14,0.83,0.16,85.0%,3.77,3.07,0.65,11.7%,35.0%,53.4%,5.5%,10.6%,0.52,0.258,0.299,0.381,0.681,0.123,0.267,26,-3.2,0.294,86,1.32,18.9%,46.2%,34.9%,0,1,0,0
Gerrit Cole,R,NYY,NYY,Home,BOS,2022-07-17,Christian Vazquez,R,BOS,,,10.61,1.93,5.5,1.13,28.3%,5.2%,23.2%,0.241,1.16,0.313,83.6%,3.07,2.65,1.71,20.8%,50.0%,29.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Gerrit Cole,R,NYY,NYY,Home,BOS,2022-07-17,Franchy Cordero,L,BOS,,,12.34,3.22,3.83,1.61,36.3%,9.5%,26.8%,0.14,0.83,0.16,85.0%,3.77,3.07,0.65,11.7%,35.0%,53.4%,9.5%,27.8%,0.34,0.255,0.323,0.423,0.746,0.168,0.347,21,1.9,0.325,107,1.18,27.5%,39.2%,33.3%,0,1,0,0
Gerrit Cole,R,NYY,NYY,Home,BOS,2022-07-17,Jackie Bradley Jr.,L,BOS,,,12.34,3.22,3.83,1.61,36.3%,9.5%,26.8%,0.14,0.83,0.16,85.0%,3.77,3.07,0.65,11.7%,35.0%,53.4%,5.9%,19.8%,0.3,0.223,0.27,0.314,0.584,0.09,0.284,15,-8.2,0.259,61,1.38,22.4%,44.9%,32.7%,0,1,0,0
Gerrit Cole,R,NYY,NYY,Home,BOS,2022-07-17,Jeter Downs,R,BOS,,,10.61,1.93,5.5,1.13,28.3%,5.2%,23.2%,0.241,1.16,0.313,83.6%,3.07,2.65,1.71,20.8%,50.0%,29.2%,0.0%,50.0%,0.0,0.25,0.25,0.25,0.5,0.0,0.5,0,-0.3,0.221,35,0.0,50.0%,0.0%,50.0%,0,0,0,1
Jordan Lyles,R,BAL,BAL,Away,TB,2022-07-17,Josh Lowe,L,TB,,,7.51,4.06,1.85,1.83,18.8%,10.2%,8.6%,0.273,1.51,0.295,65.6%,5.57,4.68,1.0,23.0%,38.5%,38.5%,5.4%,33.3%,0.16,0.212,0.255,0.375,0.63,0.163,0.308,9,-3.6,0.269,78,0.89,23.9%,35.8%,40.3%,0,0,0,0
Jordan Lyles,R,BAL,BAL,Away,TB,2022-07-17,Harold Ramirez,R,TB,,,7.27,1.78,4.08,0.59,19.0%,4.7%,14.3%,0.273,1.29,0.326,75.6%,3.09,4.01,1.17,19.6%,43.3%,37.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Jordan Lyles,R,BAL,BAL,Away,TB,2022-07-17,Randy Arozarena,R,TB,,,7.27,1.78,4.08,0.59,19.0%,4.7%,14.3%,0.273,1.29,0.326,75.6%,3.09,4.01,1.17,19.6%,43.3%,37.1%,5.1%,26.7%,0.19,0.255,0.31,0.427,0.738,0.173,0.328,35,2.6,0.322,115,2.17,19.8%,54.9%,25.3%,0,0,1,0
Jordan Lyles,R,BAL,BAL,Away,TB,2022-07-17,Brandon Lowe,L,TB,,,7.51,4.06,1.85,1.83,18.8%,10.2%,8.6%,0.273,1.51,0.295,65.6%,5.57,4.68,1.0,23.0%,38.5%,38.5%,11.2%,27.6%,0.41,0.2,0.306,0.353,0.659,0.153,0.268,10,-1.1,0.296,97,0.91,24.1%,36.2%,39.7%,0,0,0,0
Jordan Lyles,R,BAL,BAL,Away,TB,2022-07-17,Isaac Paredes,R,TB,,,7.27,1.78,4.08,0.59,19.0%,4.7%,14.3%,0.273,1.29,0.326,75.6%,3.09,4.01,1.17,19.6%,43.3%,37.1%,9.5%,18.1%,0.52,0.243,0.319,0.524,0.843,0.282,0.227,18,4.6,0.36,142,1.0,13.3%,43.4%,43.4%,0,0,0,0
Jordan Lyles,R,BAL,BAL,Away,TB,2022-07-17,Taylor Walls,L,TB,,,7.51,4.06,1.85,1.83,18.8%,10.2%,8.6%,0.273,1.51,0.295,65.6%,5.57,4.68,1.0,23.0%,38.5%,38.5%,8.3%,29.3%,0.28,0.159,0.232,0.274,0.506,0.116,0.211,9,-11.8,0.228,50,1.05,18.9%,41.4%,39.6%,0,0,0,0
Jordan Lyles,R,BAL,BAL,Away,TB,2022-07-17,Brett Phillips,L,TB,,,7.51,4.06,1.85,1.83,18.8%,10.2%,8.6%,0.273,1.51,0.295,65.6%,5.57,4.68,1.0,23.0%,38.5%,38.5%,7.3%,40.7%,0.18,0.178,0.248,0.296,0.545,0.119,0.282,10,-7.8,0.245,61,0.72,25.7%,31.1%,43.2%,0,0,0,1
Jordan Lyles,R,BAL,BAL,Away,TB,2022-07-17,Francisco Mejia,L,TB,,,7.51,4.06,1.85,1.83,18.8%,10.2%,8.6%,0.273,1.51,0.295,65.6%,5.57,4.68,1.0,23.0%,38.5%,38.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Jordan Lyles,R,BAL,BAL,Away,TB,2022-07-17,Yu Chang,R,TB,,,7.27,1.78,4.08,0.59,19.0%,4.7%,14.3%,0.273,1.29,0.326,75.6%,3.09,4.01,1.17,19.6%,43.3%,37.1%,6.9%,48.3%,0.14,0.167,0.31,0.167,0.477,0.0,0.4,2,-1.5,0.244,59,0.43,0.0%,30.0%,70.0%,0,0,0,1
