Pitcher,Pitcher_hand,Pitcher_team,Team,Away/Home,Opponent,Date,Batter,Batter_hand,Batter_team,Player,Season,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,GB/FB,LD%,GB%,FB%,Opp_BB%,Opp_K%,Opp_BB/K,Opp_AVG,Opp_OBP,Opp_SLG,Opp_OPS,Opp_ISO,Opp_BABIP,Opp_wRC,Opp_wRAA,Opp_wOBA,Opp_wRC+,Opp_GB/FB,Opp_LD%,Opp_GB%,Opp_FB%,High_GB/FB,Low_GB/FB,Opp_High_GB/FB,Opp_Low_GB/FB
Corey Kluber,R,TB,TB,Home,BAL,2022-07-17,Cedric Mullins,L,BAL,,,8.62,1.36,6.33,0.45,23.3%,3.7%,19.6%,0.253,1.11,0.316,79.2%,2.53,3.72,0.78,23.0%,33.6%,43.4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,18.6%,35.1%,46.3%,0,0,0,0
Corey Kluber,R,TB,TB,Home,BAL,2022-07-17,Trey Mancini,R,BAL,,,7.63,1.49,5.13,1.3,21.0%,4.1%,16.9%,0.238,1.08,0.27,65.6%,3.92,3.79,1.02,20.1%,40.3%,39.6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97,26.9%,35.9%,37.2%,0,0,0,0
Corey Kluber,R,TB,TB,Home,BAL,2022-07-17,Anthony Santander,L,BAL,,,8.62,1.36,6.33,0.45,23.3%,3.7%,19.6%,0.253,1.11,0.316,79.2%,2.53,3.72,0.78,23.0%,33.6%,43.4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,21.1%,29.5%,49.4%,0,0,0,1
Corey Kluber,R,TB,TB,Home,BAL,2022-07-17,Ryan Mountcastle,R,BAL,,,7.63,1.49,5.13,1.3,21.0%,4.1%,16.9%,0.238,1.08,0.27,65.6%,3.92,3.79,1.02,20.1%,40.3%,39.6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,23.7%,39.1%,37.2%,0,0,0,0
Corey Kluber,R,TB,TB,Home,BAL,2022-07-17,Austin Hays,R,BAL,,,7.63,1.49,5.13,1.3,21.0%,4.1%,16.9%,0.238,1.08,0.27,65.6%,3.92,3.79,1.02,20.1%,40.3%,39.6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19,21.3%,42.7%,36.0%,0,0,0,0
Corey Kluber,R,TB,TB,Home,BAL,2022-07-17,Adley Rutschman,L,BAL,,,8.62,1.36,6.33,0.45,23.3%,3.7%,19.6%,0.253,1.11,0.316,79.2%,2.53,3.72,0.78,23.0%,33.6%,43.4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,24.7%,37.6%,37.6%,0,0,0,0
Corey Kluber,R,TB,TB,Home,BAL,2022-07-17,Ramon Urias,R,BAL,,,7.63,1.49,5.13,1.3,21.0%,4.1%,16.9%,0.238,1.08,0.27,65.6%,3.92,3.79,1.02,20.1%,40.3%,39.6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Corey Kluber,R,TB,TB,Home,BAL,2022-07-17,Rougned Odor,L,BAL,,,8.62,1.36,6.33,0.45,23.3%,3.7%,19.6%,0.253,1.11,0.316,79.2%,2.53,3.72,0.78,23.0%,33.6%,43.4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,17.5%,30.1%,52.4%,0,0,0,1
Corey Kluber,R,TB,TB,Home,BAL,2022-07-17,Jorge Mateo,R,BAL,,,7.63,1.49,5.13,1.3,21.0%,4.1%,16.9%,0.238,1.08,0.27,65.6%,3.92,3.79,1.02,20.1%,40.3%,39.6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,23.7%,38.1%,38.1%,0,0,0,0
Aaron Nola,R,PHI,PHI,Away,MIA,2022-07-17,Joey Wendle,L,MIA,,,7.51,4.06,1.85,1.83,18.8%,10.2%,8.6%,0.273,1.51,0.295,65.6%,5.57,4.67,1.0,23.0%,38.5%,38.5%,5.2%,9.5%,0.55,0.259,0.302,0.38,0.681,0.12,0.271,12,-1.1,0.299,95,1.89,17.3%,54.1%,28.6%,0,0,0,0
Aaron Nola,R,PHI,PHI,Away,MIA,2022-07-17,Brian Anderson,R,MIA,,,7.27,1.78,4.08,0.59,19.0%,4.7%,14.3%,0.273,1.29,0.326,75.6%,3.09,4.0,1.17,19.6%,43.3%,37.1%,13.7%,28.8%,0.48,0.227,0.338,0.328,0.666,0.101,0.325,15,-0.9,0.302,97,2.33,24.1%,53.2%,22.8%,0,0,1,0
Aaron Nola,R,PHI,PHI,Away,MIA,2022-07-17,Garrett Cooper,R,MIA,,,7.27,1.78,4.08,0.59,19.0%,4.7%,14.3%,0.273,1.29,0.326,75.6%,3.09,4.0,1.17,19.6%,43.3%,37.1%,8.2%,23.4%,0.35,0.302,0.371,0.48,0.851,0.178,0.377,42,11.9,0.369,143,1.76,24.9%,47.9%,27.2%,0,0,0,0
Aaron Nola,R,PHI,PHI,Away,MIA,2022-07-17,Jesus Aguilar,R,MIA,,,7.27,1.78,4.08,0.59,19.0%,4.7%,14.3%,0.273,1.29,0.326,75.6%,3.09,4.0,1.17,19.6%,43.3%,37.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Aaron Nola,R,PHI,PHI,Away,MIA,2022-07-17,Jorge Soler,R,MIA,,,7.27,1.78,4.08,0.59,19.0%,4.7%,14.3%,0.273,1.29,0.326,75.6%,3.09,4.0,1.17,19.6%,43.3%,37.1%,10.4%,28.8%,0.36,0.218,0.306,0.386,0.692,0.168,0.286,25,-0.6,0.307,101,1.08,20.3%,41.4%,38.3%,0,0,0,0
Aaron Nola,R,PHI,PHI,Away,MIA,2022-07-17,Avisail Garcia,R,MIA,,,7.27,1.78,4.08,0.59,19.0%,4.7%,14.3%,0.273,1.29,0.326,75.6%,3.09,4.0,1.17,19.6%,43.3%,37.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Aaron Nola,R,PHI,PHI,Away,MIA,2022-07-17,Jesus Sanchez,L,MIA,,,7.51,4.06,1.85,1.83,18.8%,10.2%,8.6%,0.273,1.51,0.295,65.6%,5.57,4.67,1.0,23.0%,38.5%,38.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Aaron Nola,R,PHI,PHI,Away,MIA,2022-07-17,Miguel Rojas,R,MIA,,,7.27,1.78,4.08,0.59,19.0%,4.7%,14.3%,0.273,1.29,0.326,75.6%,3.09,4.0,1.17,19.6%,43.3%,37.1%,5.6%,10.8%,0.52,0.241,0.282,0.367,0.649,0.126,0.249,20,-4.5,0.283,85,1.75,21.3%,50.0%,28.7%,0,0,0,0
Aaron Nola,R,PHI,PHI,Away,MIA,2022-07-17,Nick Fortes,R,MIA,,,7.27,1.78,4.08,0.59,19.0%,4.7%,14.3%,0.273,1.29,0.326,75.6%,3.09,4.0,1.17,19.6%,43.3%,37.1%,11.8%,17.6%,0.67,0.31,0.431,0.571,1.003,0.262,0.355,11,4.9,0.432,185,0.53,21.2%,27.3%,51.5%,0,0,0,1
Trevor Rogers,L,MIA,MIA,Home,PHI,2022-07-17,Kyle Schwarber,L,PHI,,,10.8,6.38,1.69,0.49,26.2%,15.5%,10.7%,0.239,1.64,0.333,66.4%,3.55,3.81,2.08,22.9%,52.1%,25.0%,15.7%,31.3%,0.5,0.198,0.328,0.423,0.752,0.225,0.238,18,2.3,0.332,112,0.71,13.0%,36.2%,50.7%,1,0,0,1
Trevor Rogers,L,MIA,MIA,Home,PHI,2022-07-17,Rhys Hoskins,R,PHI,,,7.84,3.92,2.0,1.36,19.3%,9.6%,9.6%,0.283,1.56,0.322,67.1%,4.79,4.65,1.0,22.3%,38.8%,38.8%,14.9%,22.3%,0.67,0.286,0.404,0.597,1.002,0.312,0.327,19,8.5,0.423,174,0.3,24.6%,17.5%,57.9%,0,0,0,1
Trevor Rogers,L,MIA,MIA,Home,PHI,2022-07-17,Nick Castellanos,R,PHI,,,7.84,3.92,2.0,1.36,19.3%,9.6%,9.6%,0.283,1.56,0.322,67.1%,4.79,4.65,1.0,22.3%,38.8%,38.8%,5.7%,18.4%,0.31,0.296,0.333,0.395,0.728,0.099,0.344,11,0.7,0.32,104,1.68,22.7%,48.5%,28.8%,0,0,0,0
Trevor Rogers,L,MIA,MIA,Home,PHI,2022-07-17,J.T. Realmuto,R,PHI,,,7.84,3.92,2.0,1.36,19.3%,9.6%,9.6%,0.283,1.56,0.322,67.1%,4.79,4.65,1.0,22.3%,38.8%,38.8%,5.9%,18.8%,0.32,0.258,0.317,0.441,0.758,0.183,0.286,13,1.6,0.331,114,0.69,20.3%,32.4%,47.3%,0,0,0,1
Trevor Rogers,L,MIA,MIA,Home,PHI,2022-07-17,Alec Bohm,R,PHI,,,7.84,3.92,2.0,1.36,19.3%,9.6%,9.6%,0.283,1.56,0.322,67.1%,4.79,4.65,1.0,22.3%,38.8%,38.8%,9.9%,21.1%,0.47,0.206,0.282,0.286,0.567,0.079,0.25,5,-3.3,0.251,58,1.35,18.4%,46.9%,34.7%,0,0,0,0
Trevor Rogers,L,MIA,MIA,Home,PHI,2022-07-17,Matt Vierling,R,PHI,,,7.84,3.92,2.0,1.36,19.3%,9.6%,9.6%,0.283,1.56,0.322,67.1%,4.79,4.65,1.0,22.3%,38.8%,38.8%,11.1%,20.4%,0.55,0.283,0.352,0.413,0.765,0.13,0.333,7,1.0,0.332,112,0.63,29.7%,27.0%,43.2%,0,0,0,1
Trevor Rogers,L,MIA,MIA,Home,PHI,2022-07-17,Didi Gregorius,L,PHI,,,10.8,6.38,1.69,0.49,26.2%,15.5%,10.7%,0.239,1.64,0.333,66.4%,3.55,3.81,2.08,22.9%,52.1%,25.0%,4.8%,19.0%,0.25,0.189,0.286,0.243,0.529,0.054,0.241,3,-2.0,0.25,56,1.18,17.2%,44.8%,37.9%,1,0,0,0
Trevor Rogers,L,MIA,MIA,Home,PHI,2022-07-17,Yairo Munoz,R,PHI,,,7.84,3.92,2.0,1.36,19.3%,9.6%,9.6%,0.283,1.56,0.322,67.1%,4.79,4.65,1.0,22.3%,38.8%,38.8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Trevor Rogers,L,MIA,MIA,Home,PHI,2022-07-17,Johan Camargo,R,PHI,,,7.84,3.92,2.0,1.36,19.3%,9.6%,9.6%,0.283,1.56,0.322,67.1%,4.79,4.65,1.0,22.3%,38.8%,38.8%,9.5%,23.8%,0.4,0.179,0.258,0.304,0.562,0.125,0.205,4,-2.8,0.254,59,0.72,24.4%,31.7%,43.9%,0,0,0,1
Adam Oller,R,OAK,OAK,Away,HOU,2022-07-17,Jose Altuve,R,HOU,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9%,14.0%,0.85,0.269,0.37,0.468,0.838,0.199,0.277,38,10.7,0.367,144,1.08,19.2%,41.9%,38.9%,0,0,0,0
Adam Oller,R,OAK,OAK,Away,HOU,2022-07-17,Jeremy Pena,R,HOU,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Adam Oller,R,OAK,OAK,Away,HOU,2022-07-17,Kyle Tucker,L,HOU,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.2%,17.4%,0.82,0.257,0.361,0.481,0.842,0.225,0.266,35,9.6,0.365,143,0.6,22.0%,29.3%,48.7%,0,0,0,0
Adam Oller,R,OAK,OAK,Away,HOU,2022-07-17,Alex Bregman,R,HOU,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9%,12.8%,1.17,0.276,0.391,0.495,0.886,0.219,0.276,41,13.6,0.383,155,0.76,21.7%,33.7%,44.6%,0,0,0,0
