Teams,Teams_abbr
orioles,BAL
red sox,BOS
white sox,CHW
guardians,CLE
tigers,DET
astros,HOU
royals,KCR
angels,LAA
twins,MIN
yankees,NYY
athletics,OAK
mariners,SEA
rays,TBR
rangers,TEX
blue jays,TOR
diamondbacks,ARI
braves,ATL
cubs,CHC
reds,CIN
rockies,COL
dodgers,LAD
marlins,MIA
brewers,MIL
mets,NYM
phillies,PHI
pirates,PIT
padres,SDP
giants,SFG
cardinals,STL
nationals,WSN
