Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
WASHINGTON NATIONALS,Alcides Escobar,advanced,Pitcher,Handedness,2022,vs L,0.0,6.75,0.0,0.0,0.0%,20.0%,-20.0%,0.0,0.75,0.0,100.0%,5.36,6.48
WASHINGTON NATIONALS,Alcides Escobar,advanced,Pitcher,Handedness,2022,vs R,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.75,9.0,0.75,50.0%,12.11,12.11
WASHINGTON NATIONALS,Ehire Adrianza,advanced,Pitcher,Handedness,2022,vs L,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0,0.0,0.0,100.0%,3.11,7.58
WASHINGTON NATIONALS,Ehire Adrianza,advanced,Pitcher,Handedness,2022,vs R,13.5,13.5,1.0,0.0,33.3%,33.3%,0.0%,0.0,1.5,0.0,100.0%,4.61,6.85
WASHINGTON NATIONALS,Josiah Gray,advanced,Pitcher,Handedness,2022,vs L,10.22,6.03,1.7,2.88,24.5%,14.5%,10.1%,0.252,1.66,0.271,91.5%,7.1,5.28
WASHINGTON NATIONALS,Josiah Gray,advanced,Pitcher,Handedness,2022,vs R,10.25,2.22,4.62,1.2,28.6%,6.2%,22.4%,0.201,0.97,0.246,73.0%,3.53,3.5
WASHINGTON NATIONALS,Erick Fedde,advanced,Pitcher,Handedness,2022,vs L,5.93,3.73,1.59,1.32,15.8%,9.9%,5.8%,0.24,1.29,0.248,60.5%,4.94,4.89
WASHINGTON NATIONALS,Erick Fedde,advanced,Pitcher,Handedness,2022,vs R,8.42,4.97,1.7,1.3,20.4%,12.0%,8.4%,0.28,1.68,0.333,79.5%,4.77,4.47
WASHINGTON NATIONALS,Patrick Corbin,advanced,Pitcher,Handedness,2022,vs L,6.86,3.86,1.78,1.29,15.8%,8.9%,6.9%,0.315,1.81,0.356,56.2%,4.73,4.36
WASHINGTON NATIONALS,Patrick Corbin,advanced,Pitcher,Handedness,2022,vs R,8.19,2.93,2.79,1.47,19.7%,7.1%,12.6%,0.309,1.63,0.359,67.8%,4.51,4.07
