Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Pitches,Balls,Strikes
ST. LOUIS CARDINALS,Albert Pujols,batted-ball,Pitcher,Handedness,2022,vs L,1.0,0.0%,50.0%,50.0%,0.0%,100.0%,0.0%,0.0%,50.0%,0.0%,50.0%,0.0%,50.0%,50.0%,7,2,5
ST. LOUIS CARDINALS,Albert Pujols,batted-ball,Pitcher,Handedness,2022,vs R,1.0,50.0%,25.0%,25.0%,0.0%,100.0%,0.0%,0.0%,50.0%,50.0%,0.0%,0.0%,50.0%,50.0%,20,9,11
ST. LOUIS CARDINALS,Adam Wainwright,batted-ball,Pitcher,Handedness,2022,vs L,1.52,16.6%,50.3%,33.1%,7.7%,5.8%,5.1%,0.0%,42.7%,33.8%,23.6%,14.0%,59.9%,26.1%,892,340,552
ST. LOUIS CARDINALS,Adam Wainwright,batted-ball,Pitcher,Handedness,2022,vs R,1.37,27.5%,41.9%,30.6%,4.1%,16.3%,1.5%,0.0%,45.0%,33.8%,21.3%,10.6%,55.0%,34.4%,764,241,523
ST. LOUIS CARDINALS,Dakota Hudson,batted-ball,Pitcher,Handedness,2022,vs L,2.89,17.4%,61.4%,21.2%,3.6%,3.6%,1.2%,0.0%,51.5%,28.0%,20.5%,12.1%,59.8%,28.0%,724,323,401
ST. LOUIS CARDINALS,Dakota Hudson,batted-ball,Pitcher,Handedness,2022,vs R,1.33,21.9%,44.5%,33.6%,10.2%,10.2%,4.6%,0.0%,37.8%,40.5%,21.6%,14.2%,51.4%,34.5%,729,281,448
ST. LOUIS CARDINALS,Andre Pallante,batted-ball,Pitcher,Handedness,2022,vs L,4.07,17.4%,66.3%,16.3%,0.0%,13.3%,4.9%,0.0%,32.6%,40.2%,27.2%,23.9%,52.2%,23.9%,407,150,257
ST. LOUIS CARDINALS,Andre Pallante,batted-ball,Pitcher,Handedness,2022,vs R,3.48,21.7%,60.8%,17.5%,9.5%,23.8%,2.7%,0.0%,41.7%,25.8%,32.5%,13.3%,57.5%,29.2%,669,264,405
ST. LOUIS CARDINALS,Miles Mikolas,batted-ball,Pitcher,Handedness,2022,vs L,1.1,22.4%,40.6%,37.1%,6.3%,9.5%,7.2%,0.0%,43.3%,29.8%,26.9%,22.8%,52.6%,24.6%,884,290,594
ST. LOUIS CARDINALS,Miles Mikolas,batted-ball,Pitcher,Handedness,2022,vs R,1.41,19.3%,47.2%,33.5%,7.4%,11.1%,3.9%,0.0%,42.2%,37.3%,20.5%,15.5%,53.4%,31.1%,879,301,578
ST. LOUIS CARDINALS,Ryan Helsley,batted-ball,Pitcher,Handedness,2022,vs L,0.87,6.7%,43.3%,50.0%,20.0%,0.0%,0.0%,0.0%,33.3%,36.7%,30.0%,23.3%,36.7%,40.0%,227,75,152
ST. LOUIS CARDINALS,Ryan Helsley,batted-ball,Pitcher,Handedness,2022,vs R,0.78,15.8%,36.8%,47.4%,11.1%,5.6%,0.0%,0.0%,48.7%,25.6%,25.6%,15.4%,56.4%,28.2%,349,127,222
ST. LOUIS CARDINALS,Giovanny Gallegos,batted-ball,Pitcher,Handedness,2022,vs L,0.39,20.0%,22.5%,57.5%,8.7%,17.4%,11.1%,100.0%,39.0%,36.6%,24.4%,9.8%,53.7%,36.6%,270,93,177
ST. LOUIS CARDINALS,Giovanny Gallegos,batted-ball,Pitcher,Handedness,2022,vs R,0.46,11.6%,27.9%,60.5%,11.5%,3.8%,8.3%,0.0%,39.5%,32.6%,27.9%,14.0%,62.8%,23.3%,306,103,203
ST. LOUIS CARDINALS,Génesis Cabrera,batted-ball,Pitcher,Handedness,2022,vs L,1.67,22.6%,48.4%,29.0%,22.2%,11.1%,0.0%,0.0%,45.2%,25.8%,29.0%,22.6%,61.3%,16.1%,202,77,125
ST. LOUIS CARDINALS,Génesis Cabrera,batted-ball,Pitcher,Handedness,2022,vs R,1.32,13.6%,49.2%,37.3%,9.1%,18.2%,6.9%,0.0%,42.4%,39.0%,18.6%,23.7%,50.8%,25.4%,341,127,214
ST. LOUIS CARDINALS,Jordan Hicks,batted-ball,Pitcher,Handedness,2022,vs L,1.36,31.6%,39.5%,28.9%,0.0%,0.0%,6.7%,0.0%,34.2%,52.6%,13.2%,15.8%,52.6%,31.6%,312,142,170
ST. LOUIS CARDINALS,Jordan Hicks,batted-ball,Pitcher,Handedness,2022,vs R,3.45,5.8%,73.1%,21.2%,9.1%,27.3%,2.6%,0.0%,38.5%,44.2%,17.3%,28.8%,51.9%,19.2%,321,132,189
ST. LOUIS CARDINALS,Junior Fernández,batted-ball,Pitcher,Handedness,2022,vs L,3.5,10.0%,70.0%,20.0%,50.0%,0.0%,14.3%,0.0%,30.0%,50.0%,20.0%,40.0%,50.0%,10.0%,61,24,37
ST. LOUIS CARDINALS,Junior Fernández,batted-ball,Pitcher,Handedness,2022,vs R,3.0,11.1%,66.7%,22.2%,33.3%,0.0%,0.0%,0.0%,37.0%,33.3%,29.6%,25.9%,51.9%,22.2%,133,56,77
ST. LOUIS CARDINALS,Johan Oviedo,batted-ball,Pitcher,Handedness,2022,vs L,0.83,12.0%,40.0%,48.0%,8.3%,0.0%,0.0%,0.0%,32.0%,36.0%,32.0%,8.0%,64.0%,28.0%,126,46,80
