last_name, first_name,player_id,year,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,groundballs_percent,flyballs_percent,
LeMahieu, DJ,518934,2022,89.1,3.2,6.2,55.2,15.8,
Moustakas, Mike,519058,2022,88.5,19.4,5.6,35.7,24.5,
Rizzo, Anthony,519203,2022,90,18.4,11.9,34.1,36.7,
Romine, Austin,519222,2022,88.7,15.4,0,37.5,37.5,
Souza Jr., Steven,519306,2022,83.3,23.6,0,36.4,18.2,
Stanton, Giancarlo,519317,2022,95.6,9.5,22.7,44.8,24.9,
Vogt, Stephen,519390,2022,86.9,24.7,8.5,27.7,31.9,
Perez, Salvador,521692,2022,91.4,17.1,10.8,38.6,37.3,
Flores, Wilmer,527038,2022,88.6,19.8,6.5,36.1,30.9,
Garcia, Avisail,541645,2022,88.3,2,7.4,56.6,21.2,
Bethancourt, Christian,542194,2022,91.9,9.6,14,48.8,23.3,
Ozuna, Marcell,542303,2022,89.8,15.6,14.3,38.6,31.1,
Villar, Jonathan,542340,2022,89.5,-0.1,2.3,59.8,18.2,
Ortega, Rafael,542364,2022,87.7,17.3,5.1,35,29.9,
Aguilar, Jesus,542583,2022,87.2,18.5,7.2,33.8,32.9,
Berti, Jon,542932,2022,87.9,4.9,5,51.1,22,
Crawford, Brandon,543063,2022,87.3,14,7.7,47.5,21.9,
Cron, C.J.,543068,2022,87.6,14.6,13,37.2,29.3,
Dickerson, Alex,543105,2022,90.1,18.2,8.3,37.5,25,
Gomes, Yan,543228,2022,84.8,6.5,2.3,46.5,21.7,
Grossman, Robbie,543257,2022,86.9,20.7,3.9,32.9,32.3,
Harrison, Josh,543281,2022,87,14.6,5.4,45,26.8,
Hicks, Aaron,543305,2022,88.5,15.5,6,43.4,22.3,
Higashioka, Kyle,543309,2022,91.8,21.3,11.2,31.6,34.7,
Hosmer, Eric,543333,2022,88.7,3.2,5,58.1,12.4,
McCann, James,543510,2022,89.7,15.5,9,41.8,28.4,
Miller, Brad,543543,2022,91,13.2,8.9,44.4,28.2,
Nola, Austin,543592,2022,90.1,10.6,2.4,43.7,23.4,
Rendon, Anthony,543685,2022,89.7,18.7,8.3,35.6,30.3,
Semien, Marcus,543760,2022,86.4,18.7,6.1,35.6,32.4,
Shaw, Travis,543768,2022,79.3,29,0,25,25,
