last_name, first_name,player_id,year,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,groundballs_percent,flyballs_percent,
Contreras, William,661388,2022,90.3,5.1,16,53,27,
Serven, Brian,661531,2022,86,11.9,4.9,44.3,23,
Varsho, Daulton,662139,2022,87.9,13.6,9.2,42.9,29,
Nootbaar, Lars,663457,2022,90.6,5.2,5.5,52.7,20,
Nevin, Tyler,663527,2022,88,17.7,4.3,40.9,26.9,
Hoerner, Nico,663538,2022,88.7,9.6,3.1,47.3,22.8,
Riley, Austin,663586,2022,93.7,13.8,14.9,38.4,30.2,
Madrigal, Nick,663611,2022,86.4,-0.6,0,62,7.6,
Larnach, Trevor,663616,2022,90.1,13.1,11.4,41.9,36.2,
Mountcastle, Ryan,663624,2022,92.9,15.8,15.9,36.9,28.5,
McKenna, Ryan,663630,2022,83.5,11.6,9.3,53.7,22.2,
Hayes, Ke'Bryan,663647,2022,91.4,6.4,5.3,48,19.4,
Tucker, Kyle,663656,2022,89.5,21.4,11.3,30.3,41.1,
Cameron, Daz,663662,2022,90.7,18.8,10.5,28.9,31.6,
India, Jonathan,663697,2022,83.4,17.4,3,43.4,30.3,
Bart, Joey,663698,2022,88.8,13.1,8.2,44.9,16.3,
Raleigh, Cal,663728,2022,90.9,20.8,15,33.3,36.7,
Fortes, Nick,663743,2022,92.2,20.5,6.7,37.8,31.1,
Grisham, Trent,663757,2022,85.9,12.8,6.9,48.5,27.5,
Vierling, Matt,663837,2022,91.9,14.9,6.5,36.6,28,
Rivas III, Alfonso,663845,2022,87,2.5,4,53.5,17.2,
Stephenson, Tyler,663886,2022,86.6,12.1,7.5,41.1,19.6,
Williams, Luke,663897,2022,80.5,13.1,2.9,48.6,17.1,
Rodgers, Brendan,663898,2022,89.4,5.2,9,50.2,22.9,
Plummer, Nick,663911,2022,89.1,7.8,11.8,47.1,29.4,
Lowe, Nathaniel,663993,2022,89.2,8.9,7.7,46.8,19.1,
Happ, Ian,664023,2022,89.8,10.3,7.5,48.9,22.9,
Mathias, Mark,664029,2022,90.8,18,7.7,38.5,46.2,
France, Ty,664034,2022,88.8,10.6,5.7,46.5,20.8,
Lowe, Brandon,664040,2022,89.8,16.7,10.6,36.5,32.9,
Bader, Harrison,664056,2022,83.5,17.3,4,40.5,24.5,
Fletcher, David,664058,2022,82.8,8.1,0,38.9,16.7,
Haggerty, Sam,664059,2022,86.2,17.6,3.4,48.3,27.6,
Allen, Austin,664119,2022,92.7,25,0,40,40,
Moore, Dylan,664238,2022,88.7,22.9,15.9,29.3,37.8,
Garlick, Kyle,664247,2022,92.9,15.3,13.1,41,34.4,
Florial, Estevan,664314,2022,86.3,-2.7,14.3,57.1,14.3,
Whitefield, Aaron,664334,2022,95.3,-1.8,16.7,66.7,0,
Lopez, Alejo,664670,2022,85.7,9.7,0,45.1,15.7,
Straw, Myles,664702,2022,86.3,8.6,0.8,49.4,21.1,
Isbel, Kyle,664728,2022,91.9,6.7,5,47,22,
Higgins, P.J.,664731,2022,86.1,12.9,3.2,41.9,24.2,
Bohm, Alec,664761,2022,90,10.8,7,44.7,19.3,
Wade Jr., LaMonte,664774,2022,88.2,15,6.1,46.9,30.6,
Mazeika, Patrick,664850,2022,84.7,16,4.7,39.5,30.2,
Zavala, Seby,664874,2022,88.8,19.1,8.9,40,31.1,
Mendick, Danny,664901,2022,86.8,10.3,4,45.3,24,
Brown, Seth,664913,2022,89.6,15,9.9,37.7,27.2,
McCarthy, Jake,664983,2022,90.6,15.5,10,44,24,
Clemens, Kody,665019,2022,89.7,16.8,4.5,38.6,36.4,
Walsh, Jared,665120,2022,90.7,9.3,9.8,46.8,22.9,
Pena, Jeremy,665161,2022,88.6,11,10.7,42.7,24.7,
Celestino, Gilberto,665482,2022,86.9,-3.5,1.8,61.6,10.7,
Guerrero Jr., Vladimir,665489,2022,93.1,5.4,11.4,50.8,16.7,
Pache, Cristian,665506,2022,90.1,3.7,4.1,58.5,16.3,
Fox, Lucius,665650,2022,81.8,-3.5,5.6,77.8,16.7,
Soto, Juan,665742,2022,89.9,6.8,12.6,49.2,26.1,
Taveras, Leody,665750,2022,90.7,16.5,4.3,37,28.3,
Cruz, Oneil,665833,2022,91.6,15.1,14.3,42.9,30.6,
Chisholm Jr., Jazz,665862,2022,90.4,15.5,16.7,39.3,34.7,
Gimenez, Andres,665926,2022,89.3,11.5,7.5,47.3,21,
Jones, Nolan,666134,2022,96.9,13.9,20,30,10,
Kirilloff, Alex,666135,2022,90.1,7.1,7.7,51.3,29.5,
Lowe, Josh,666139,2022,88.6,10.9,5.7,36.8,31,
Lux, Gavin,666158,2022,87.4,8.7,6,46.7,20.6,
Moniak, Mickey,666160,2022,82.6,9.3,3.7,51.9,25.9,
Adell, Jo,666176,2022,90.1,10.5,13,44.4,18.5,
Beer, Seth,666179,2022,87.5,10.4,3.4,46.6,22.4,
Bichette, Bo,666182,2022,91.6,8.5,10,49.4,22.7,
Carlson, Dylan,666185,2022,85.3,11.8,4.6,44.1,27.7,
Trammell, Taylor,666211,2022,88,17.1,10.2,40.7,33.9,
Morel, Christopher,666624,2022,89.6,7.3,15.3,52.7,23.7,
Castro, Rodolfo,666801,2022,87,7.5,5.8,50,28.8,
Dalbec, Bobby,666915,2022,89.2,15.1,8.5,40.4,34,
Garcia, Adolis,666969,2022,92.2,13.8,10.9,38.3,24.3,
Gurriel Jr., Lourdes,666971,2022,90.6,12,4.4,44.5,23.6,
Walker, Steele,667727,2022,88.2,19.4,20,50,30,
Arozarena, Randy,668227,2022,90.7,6.9,7.3,51.1,19.3,
Henry, Payton,668721,2022,79.5,-7.4,0,75,5,
Baddoo, Akil,668731,2022,84.2,12,2.9,40,22.9,
Mitchell, Cal,668751,2022,90.6,7.4,3.3,44.3,21.3,
Knizner, Andrew,668800,2022,84.5,18.6,2.8,42.5,23.6,
Reynolds, Bryan,668804,2022,88.8,10.4,6.2,44.7,23,
Capel, Conner,668843,2022,87.4,7.9,6.3,50,31.3,
Lewis, Royce,668904,2022,90.7,19.4,5.7,34.3,34.3,
Rutschman, Adley,668939,2022,89.8,15.4,8.6,40.5,22.4,
Rojas, Josh,668942,2022,88.2,13.8,3.1,41,29.8,
Melendez Jr., MJ,669004,2022,90,14.6,9.3,40.7,31.3,
Marsh, Brandon,669016,2022,88.8,10.9,8.2,44,30.2,
Huff, Sam,669087,2022,86,2,4,54,12,
Campusano, Luis,669134,2022,85.6,7.5,9.1,54.5,45.5,
Murphy, Sean,669221,2022,89,14,11.1,37.3,27.6,
Senzel, Nick,669222,2022,88.4,13,4.3,43.5,27.3,
Edman, Tommy,669242,2022,88.5,8.3,6.2,50.9,19.8,
Solak, Nick,669256,2022,88.4,1.3,6,62,22,
Smith, Will,669257,2022,90.6,19.2,10.7,29.4,37.4,
Suwinski, Jack,669261,2022,87.9,15.1,12.2,41,32.4,
Espinal, Santiago,669289,2022,86.8,14.5,4.3,40,20,
Miranda, Jose,669304,2022,89.4,14.7,5.8,44.9,25.4,
Gorman, Nolan,669357,2022,89.8,19.3,13.1,25.3,35.4,
Hiura, Keston,669374,2022,93.1,17,16.9,33.9,33.9,
Burger, Jake,669394,2022,90.7,12.3,14.9,43,30.7,
Allen, Nick,669397,2022,84.7,5.9,1.5,52.3,20,
Hummel, Cooper,669450,2022,87.6,5.8,6.1,48.8,19.5,
Smith, Josh H.,669701,2022,87,17.5,0,27.8,22.2,
Hays, Austin,669720,2022,89.1,12.9,7.8,39.2,24.5,
Hall, Darick,669742,2022,90.8,15.7,25,40.6,34.4,
Lopez, Nicky,670032,2022,84.6,5.3,0.9,54.1,17.6,
Raley, Luke,670042,2022,84.6,19.1,0,50,33.3,
Rojas, Jose,670351,2022,92.8,30.2,6.7,13.3,33.3,
Alvarez, Yordan,670541,2022,96,12.6,19.2,38.5,31.9,
Paredes, Isaac,670623,2022,88.5,16.6,7.6,42.4,30.5,
Brosseau, Mike,670712,2022,88,12.9,6.7,46.7,31.7,
Walls, Taylor,670764,2022,86.1,16.7,5.1,38.9,24.8,
Gonzalez, Luis,670768,2022,87.5,11,3,45.2,25.2,
Friedl Jr., TJ,670770,2022,87,19.2,2.7,37.3,29.3,
Herrera, Ivan,671056,2022,85.2,8.1,0,58.3,25,
Kennedy, Buddy,671083,2022,88.8,12.6,2.1,40.4,25.5,
Ramos, Heliot,671218,2022,92.8,8.3,10,60,10,
Garcia, Luis,671277,2022,88.2,4.5,8,53.1,23.9,
Harris II, Michael,671739,2022,89.4,5.3,10.2,54.2,19.5,
Kelenic, Jarred,672284,2022,84.5,16.7,9.8,37.3,27.5,
Arias, Gabriel,672356,2022,92.3,-4.8,0,72.7,0,
Kirk, Alejandro,672386,2022,91.3,11.1,10,44.5,23.2,
Moreno, Gabriel,672515,2022,89,5.8,2,58.8,15.7,
Perdomo, Geraldo,672695,2022,84.9,11.8,2.8,50.6,19.4,
Marcano, Tucupita,672779,2022,86,9.5,3.8,47.2,22.6,
Sosa, Lenyn,672820,2022,86.9,-6.9,0,77.8,11.1,
Robert, Luis,673357,2022,88.9,9.7,9,47,21.8,
Kim, Ha-Seong,673490,2022,84.7,17.6,5.4,40.5,22.9,
Suzuki, Seiya,673548,2022,89.9,16.2,11.6,34.8,27.7,
Smith, Kevin,675656,2022,87,16.4,7.8,43.1,32.4,
Velazquez, Nelson,676369,2022,89.9,13.1,9.1,45.5,27.3,
Clement, Ernie,676391,2022,86.4,9.8,3.8,50.9,25.5,
Bannon, Rylan,676625,2022,88.7,0.9,0,55.6,33.3,
Contreras, Mark,676628,2022,92.4,14.7,28.6,57.1,28.6,
Madris, Bligh,676632,2022,89.7,5.4,8.3,61.1,16.7,
Reks, Zach,676646,2022,86.3,19,0,25,37.5,
Meyers, Jake,676694,2022,89.9,6.8,8.3,52.8,13.9,
Trejo, Alan,676701,2022,87.7,12.7,6.7,40,36.7,
McCormick, Chas,676801,2022,87.9,13.8,10,46.2,32.3,
MacKinnon, David,676950,2022,84.8,11.4,0,45,25,
Franco, Wander,677551,2022,88.1,6.6,4.4,46.6,16.7,
Rodriguez, Julio,677594,2022,91.9,10.4,14.3,47.8,22.6,
Duran, Ezequiel,677649,2022,87.7,1.9,2.2,60,6.7,
Thomas, Alek,677950,2022,87.5,1.9,6.4,59.2,19.7,
Witt Jr., Bobby,677951,2022,90.6,16.8,9.1,37.3,33.2,
Torkelson, Spencer,679529,2022,89.6,13.1,7.3,45.3,22.9,
Palacios, Richie,680700,2022,85.6,12.6,1.4,46.5,16.9,
Kwan, Steven,680757,2022,85,10.1,1.3,47.6,24,
Duran, Jarren,680776,2022,89.7,7.2,7.2,52.2,21.7,
Jeffers, Ryan,680777,2022,89.2,18.4,15.5,36.4,32.6,
Miller, Owen,680911,2022,86.9,9.5,2.8,45,23.7,
Donovan, Brendan,680977,2022,86.6,7.4,1.2,54,19.6,
Stott, Bryson,681082,2022,87.4,17.2,2.7,39.7,26,
Bride, Jonah,681146,2022,86,11.7,2.6,44.7,23.7,
Lavastida, Bryan,681526,2022,87.6,6.2,0,62.5,37.5,
Villar, David,681584,2022,87.4,23.7,14.3,21.4,42.9,
Abrams, C.J.,682928,2022,86.2,7.4,5.5,50.5,25.3,
Greene, Riley,682985,2022,88.3,2.8,10.6,53,21.2,
Stefanic, Michael,683021,2022,85.4,6.3,7.1,35.7,28.6,
Vaughn, Andrew,683734,2022,92.1,7.8,6.2,47.4,21.5,
Pasquantino, Vinnie,686469,2022,93.8,10.6,12.8,46.2,30.8,
