Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Chase%,IZ_Contact%,oppHandedness,Cluster
HOUSTON ASTROS,Justin Verlander,advanced,Pitcher,Handedness,2022,vs L,9.43,2.22,4.25,0.55,0.276,0.065,0.21100000000000002,0.161,0.8,0.207,0.9520000000000001,0.222,0.376,0.402,0.17,0.064,0.068,0.353,0.361,0.28600000000000003,0.218,0.496,0.28600000000000003,29.5,80.4,L,15
HOUSTON ASTROS,Justin Verlander,advanced,Pitcher,Handedness,2022,vs R,7.74,1.15,6.71,1.32,0.22,0.033,0.187,0.215,0.93,0.238,0.662,0.182,0.409,0.409,0.215,0.12300000000000001,0.031,0.314,0.40299999999999997,0.28300000000000003,0.182,0.516,0.302,29.5,80.4,R,15
HOUSTON ASTROS,Luis Garcia,advanced,Pitcher,Handedness,2022,vs R,9.32,2.47,3.77,1.52,0.255,0.068,0.188,0.205,1.04,0.231,0.773,0.17800000000000002,0.35700000000000004,0.465,0.1,0.133,0.065,0.37200000000000005,0.349,0.27899999999999997,0.155,0.504,0.341,31.2,81.3,R,15
MILWAUKEE BREWERS,Brandon Woodruff,advanced,Pitcher,Handedness,2022,vs R,8.59,2.76,3.11,1.53,0.214,0.069,0.145,0.265,1.36,0.299,0.6859999999999999,0.156,0.4,0.444,0.175,0.125,0.19399999999999998,0.41100000000000003,0.3,0.289,0.244,0.444,0.311,31.7,75.1,R,15
ST. LOUIS CARDINALS,Miles Mikolas,advanced,Pitcher,Handedness,2022,vs L,6.51,1.43,4.56,0.95,0.183,0.04,0.14300000000000002,0.21,0.94,0.23,0.735,0.22399999999999998,0.406,0.371,0.063,0.095,0.07200000000000001,0.433,0.298,0.26899999999999996,0.228,0.526,0.24600000000000002,28.6,87.0,L,15
CHICAGO CUBS,Drew Smyly,advanced,Pitcher,Handedness,2022,vs R,8.27,1.93,4.29,1.93,0.21,0.049,0.161,0.279,1.38,0.313,0.795,0.113,0.491,0.396,0.16699999999999998,0.16699999999999998,0.038,0.462,0.34,0.198,0.23600000000000002,0.47200000000000003,0.292,32.4,81.1,R,15
CHICAGO CUBS,Adrian Sampson,advanced,Pitcher,Handedness,2022,vs R,9.2,1.84,5.0,1.23,0.25,0.05,0.2,0.211,1.02,0.25,0.82,0.14300000000000002,0.429,0.429,0.16699999999999998,0.111,0.16699999999999998,0.452,0.35700000000000004,0.19,0.214,0.5,0.28600000000000003,29.5,79.2,R,15
CHICAGO CUBS,Keegan Thompson,advanced,Pitcher,Handedness,2022,vs R,8.0,2.0,4.0,1.2,0.222,0.055999999999999994,0.16699999999999998,0.248,1.13,0.292,0.708,0.16699999999999998,0.42100000000000004,0.413,0.077,0.115,0.075,0.429,0.302,0.27,0.20600000000000002,0.444,0.349,27.6,81.5,R,15
CHICAGO CUBS,Kyle Hendricks,advanced,Pitcher,Handedness,2022,vs R,6.31,1.74,3.63,0.65,0.177,0.049,0.128,0.226,1.04,0.26,0.7290000000000001,0.184,0.44,0.376,0.149,0.064,0.055,0.452,0.28600000000000003,0.262,0.214,0.508,0.278,30.6,83.2,R,15
ARIZONA DIAMONDBACKS,Zach Davies,advanced,Pitcher,Handedness,2022,vs R,9.66,2.85,3.38,1.32,0.262,0.077,0.185,0.213,1.1,0.252,0.674,0.165,0.42200000000000004,0.413,0.111,0.133,0.087,0.46799999999999997,0.303,0.22899999999999998,0.193,0.505,0.303,26.8,83.9,R,15
