Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Chase%,IZ_Contact%,oppHandedness,Cluster
LOS ANGELES ANGELS,Patrick Sandoval,advanced,Pitcher,Handedness,2022,vs R,10.03,4.47,2.24,0.62,0.24600000000000002,0.11,0.136,0.268,1.54,0.345,0.785,0.235,0.452,0.313,0.096,0.077,0.013000000000000001,0.45799999999999996,0.315,0.226,0.161,0.512,0.327,29.8,78.8,R,1
HOUSTON ASTROS,Jake Odorizzi,advanced,Pitcher,Handedness,2022,vs R,8.44,2.11,4.0,0.42,0.23,0.057,0.172,0.244,1.17,0.311,0.763,0.242,0.387,0.371,0.13,0.043,0.083,0.258,0.355,0.387,0.19399999999999998,0.516,0.29,28.0,84.7,R,1
HOUSTON ASTROS,Luis Garcia,advanced,Pitcher,Handedness,2022,vs L,9.8,2.61,3.75,1.52,0.268,0.071,0.196,0.214,1.09,0.25,0.682,0.22,0.376,0.40399999999999997,0.136,0.159,0.024,0.441,0.315,0.243,0.171,0.541,0.28800000000000003,31.2,81.3,L,1
TORONTO BLUE JAYS,Kevin Gausman,advanced,Pitcher,Handedness,2022,vs R,12.32,2.36,5.23,0.18,0.309,0.059000000000000004,0.25,0.296,1.49,0.435,0.7020000000000001,0.273,0.41,0.317,0.114,0.023,0.053,0.381,0.309,0.309,0.13699999999999998,0.475,0.38799999999999996,42.0,79.3,R,1
ATLANTA BRAVES,Charlie Morton,advanced,Pitcher,Handedness,2022,vs L,11.25,4.3,2.62,1.64,0.28600000000000003,0.109,0.177,0.245,1.39,0.314,0.789,0.264,0.282,0.455,0.1,0.16,0.09699999999999999,0.355,0.3,0.345,0.17300000000000001,0.536,0.29100000000000004,27.0,82.2,L,1
MILWAUKEE BREWERS,Brandon Woodruff,advanced,Pitcher,Handedness,2022,vs R,8.59,2.76,3.11,1.53,0.214,0.069,0.145,0.265,1.36,0.299,0.6859999999999999,0.156,0.4,0.444,0.175,0.125,0.19399999999999998,0.41100000000000003,0.3,0.289,0.244,0.444,0.311,31.7,75.1,R,1
MILWAUKEE BREWERS,Aaron Ashby,advanced,Pitcher,Handedness,2022,vs L,14.21,4.97,2.86,1.42,0.32299999999999995,0.113,0.21,0.302,1.82,0.438,0.5660000000000001,0.273,0.39399999999999996,0.33299999999999996,0.273,0.182,0.0,0.353,0.324,0.324,0.20600000000000002,0.529,0.265,32.3,80.5,L,1
MILWAUKEE BREWERS,Freddy Peralta,advanced,Pitcher,Handedness,2022,vs R,11.57,2.57,4.5,0.43,0.293,0.065,0.228,0.274,1.38,0.386,0.524,0.293,0.466,0.24100000000000002,0.14300000000000002,0.071,0.037000000000000005,0.431,0.31,0.259,0.19,0.44799999999999995,0.36200000000000004,29.1,75.6,R,1
ST. LOUIS CARDINALS,Steven Matz,advanced,Pitcher,Handedness,2022,vs L,12.96,2.16,6.0,1.08,0.316,0.053,0.263,0.314,1.56,0.455,0.7140000000000001,0.478,0.348,0.174,0.0,0.25,0.125,0.261,0.304,0.435,0.261,0.565,0.174,26.6,77.0,L,1
ST. LOUIS CARDINALS,Steven Matz,advanced,Pitcher,Handedness,2022,vs R,9.93,1.86,5.33,2.17,0.254,0.048,0.20600000000000002,0.275,1.34,0.321,0.6509999999999999,0.239,0.375,0.386,0.059000000000000004,0.20600000000000002,0.061,0.44299999999999995,0.341,0.21600000000000003,0.136,0.557,0.307,26.6,77.0,R,1
