Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Chase%,IZ_Contact%,oppHandedness,Cluster
LOS ANGELES ANGELS,Noah Syndergaard,advanced,Pitcher,Handedness,2022,vs L,6.3,2.7,2.33,1.2,0.162,0.069,0.092,0.256,1.3,0.277,0.7909999999999999,0.133,0.49,0.37799999999999995,0.054000000000000006,0.10800000000000001,0.10400000000000001,0.45899999999999996,0.337,0.204,0.184,0.5,0.316,28.1,81.5,L,6
OAKLAND ATHLETICS,James Kaprielian,advanced,Pitcher,Handedness,2022,vs L,5.35,3.57,1.5,1.78,0.139,0.09300000000000001,0.046,0.231,1.27,0.226,0.785,0.205,0.446,0.348,0.077,0.179,0.04,0.48700000000000004,0.292,0.221,0.142,0.48700000000000004,0.37200000000000005,24.3,83.8,L,6
TORONTO BLUE JAYS,Max Castillo,advanced,Pitcher,Handedness,2022,vs R,10.38,2.08,5.0,2.08,0.32299999999999995,0.065,0.258,0.138,0.69,0.118,0.938,0.105,0.526,0.368,0.14300000000000002,0.28600000000000003,0.0,0.579,0.368,0.053,0.053,0.526,0.42100000000000004,30.0,86.6,R,6
TORONTO BLUE JAYS,Yusei Kikuchi,advanced,Pitcher,Handedness,2022,vs L,6.46,2.35,2.75,1.17,0.196,0.071,0.125,0.163,0.78,0.158,0.588,0.10300000000000001,0.513,0.385,0.133,0.133,0.0,0.525,0.35,0.125,0.15,0.45,0.4,23.8,76.2,L,6
TORONTO BLUE JAYS,Hyun Jin Ryu,advanced,Pitcher,Handedness,2022,vs R,5.24,1.21,4.33,2.01,0.138,0.032,0.106,0.308,1.39,0.315,0.708,0.192,0.436,0.37200000000000005,0.0,0.172,0.028999999999999998,0.48700000000000004,0.33299999999999996,0.179,0.064,0.526,0.41,23.5,87.1,R,6
MILWAUKEE BREWERS,Jason Alexander,advanced,Pitcher,Handedness,2022,vs R,3.18,3.18,1.0,0.4,0.083,0.083,0.0,0.287,1.46,0.304,0.696,0.25,0.625,0.125,0.1,0.1,0.06,0.55,0.263,0.188,0.263,0.413,0.325,25.6,90.5,R,6
ST. LOUIS CARDINALS,Adam Wainwright,advanced,Pitcher,Handedness,2022,vs R,7.74,1.55,5.0,1.38,0.209,0.042,0.16699999999999998,0.284,1.28,0.329,0.792,0.275,0.419,0.306,0.040999999999999995,0.163,0.015,0.45,0.33799999999999997,0.213,0.106,0.55,0.344,25.2,89.0,R,6
CHICAGO CUBS,Alec Mills,advanced,Pitcher,Handedness,2022,vs R,8.31,1.04,8.0,5.19,0.205,0.026000000000000002,0.179,0.333,1.5,0.304,0.625,0.14300000000000002,0.321,0.536,0.0,0.33299999999999996,0.111,0.679,0.214,0.107,0.036000000000000004,0.46399999999999997,0.5,33.1,92.7,R,6
ARIZONA DIAMONDBACKS,Madison Bumgarner,advanced,Pitcher,Handedness,2022,vs R,6.97,2.66,2.62,1.39,0.182,0.069,0.11199999999999999,0.255,1.3,0.282,0.7909999999999999,0.163,0.43,0.40700000000000003,0.08900000000000001,0.122,0.063,0.5,0.33,0.17,0.14300000000000002,0.446,0.41100000000000003,25.5,85.4,R,6
LOS ANGELES DODGERS,Tony Gonsolin,advanced,Pitcher,Handedness,2022,vs R,7.34,2.38,3.09,1.08,0.22399999999999998,0.07200000000000001,0.151,0.144,0.74,0.15,1.0,0.133,0.429,0.43799999999999994,0.022000000000000002,0.109,0.022000000000000002,0.429,0.314,0.257,0.152,0.552,0.295,30.7,80.6,R,6
