Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Chase%,IZ_Contact%,oppHandedness,Cluster
LOS ANGELES ANGELS,Patrick Sandoval,advanced,Pitcher,Handedness,2022,vs L,9.5,2.5,3.8,0.0,0.264,0.069,0.19399999999999998,0.169,0.89,0.234,0.765,0.13,0.457,0.413,0.105,0.0,0.14300000000000002,0.319,0.46799999999999997,0.213,0.17,0.66,0.17,29.8,78.8,L,16
OAKLAND ATHLETICS,Frankie Montas,advanced,Pitcher,Handedness,2022,vs R,10.57,1.32,8.0,0.76,0.29600000000000004,0.037000000000000005,0.259,0.236,1.03,0.314,0.743,0.242,0.40299999999999997,0.355,0.136,0.091,0.06,0.4,0.384,0.21600000000000003,0.152,0.56,0.28800000000000003,33.4,80.5,R,16
TORONTO BLUE JAYS,Kevin Gausman,advanced,Pitcher,Handedness,2022,vs L,7.51,0.7,10.67,0.23,0.212,0.02,0.192,0.24,0.99,0.296,0.71,0.209,0.44299999999999995,0.348,0.05,0.025,0.13699999999999998,0.353,0.431,0.21600000000000003,0.18100000000000002,0.56,0.259,42.0,79.3,L,16
TORONTO BLUE JAYS,Alek Manoah,advanced,Pitcher,Handedness,2022,vs R,9.64,1.29,7.5,0.64,0.29,0.039,0.251,0.157,0.68,0.2,0.775,0.16399999999999998,0.425,0.41,0.127,0.073,0.08800000000000001,0.493,0.321,0.187,0.187,0.627,0.187,31.1,80.9,R,16
ATLANTA BRAVES,Max Fried,advanced,Pitcher,Handedness,2022,vs L,9.24,1.78,5.2,0.36,0.257,0.05,0.20800000000000002,0.221,1.03,0.294,0.703,0.179,0.612,0.209,0.14300000000000002,0.071,0.049,0.348,0.406,0.24600000000000002,0.13,0.609,0.261,34.7,84.7,L,16
MILWAUKEE BREWERS,Corbin Burnes,advanced,Pitcher,Handedness,2022,vs L,11.39,2.39,4.77,0.55,0.32299999999999995,0.068,0.255,0.182,0.92,0.261,0.845,0.21899999999999997,0.526,0.254,0.10300000000000001,0.10300000000000001,0.05,0.5,0.272,0.228,0.16699999999999998,0.596,0.237,34.7,77.4,L,16
CHICAGO CUBS,Wade Miley,advanced,Pitcher,Handedness,2022,vs L,7.88,0.0,7.0,0.0,0.233,0.0,0.233,0.172,0.63,0.227,0.667,0.22699999999999998,0.455,0.318,0.14300000000000002,0.0,0.1,0.409,0.409,0.182,0.22699999999999998,0.545,0.22699999999999998,27.7,85.1,L,16
LOS ANGELES DODGERS,Clayton Kershaw,advanced,Pitcher,Handedness,2022,vs R,9.92,1.3,7.63,0.81,0.29,0.038,0.252,0.2,0.87,0.259,0.81,0.14300000000000002,0.5,0.35700000000000004,0.08,0.1,0.086,0.521,0.3,0.179,0.18600000000000003,0.521,0.293,34.3,83.3,R,16
LOS ANGELES DODGERS,Andrew Heaney,advanced,Pitcher,Handedness,2022,vs L,15.43,1.93,8.0,0.0,0.444,0.055999999999999994,0.389,0.118,0.64,0.222,0.667,0.33299999999999996,0.444,0.222,0.0,0.0,0.25,0.444,0.444,0.111,0.111,0.556,0.33299999999999996,34.7,78.6,L,16
SAN FRANCISCO GIANTS,Logan Webb,advanced,Pitcher,Handedness,2022,vs R,8.14,1.63,5.0,0.54,0.23600000000000002,0.047,0.18899999999999997,0.208,0.93,0.261,0.736,0.179,0.547,0.27399999999999997,0.122,0.08199999999999999,0.092,0.361,0.41700000000000004,0.222,0.21100000000000002,0.578,0.21100000000000002,32.5,84.2,R,16
SAN FRANCISCO GIANTS,Alex Wood,advanced,Pitcher,Handedness,2022,vs L,8.74,1.19,7.33,0.4,0.268,0.037000000000000005,0.23199999999999998,0.192,0.79,0.25,0.723,0.228,0.579,0.193,0.0,0.091,0.0,0.298,0.439,0.263,0.21100000000000002,0.667,0.12300000000000001,30.9,82.4,L,16
SAN FRANCISCO GIANTS,Alex Cobb,advanced,Pitcher,Handedness,2022,vs R,9.62,2.14,4.5,0.8,0.255,0.057,0.19899999999999998,0.252,1.22,0.323,0.635,0.179,0.642,0.179,0.0,0.17600000000000002,0.18,0.495,0.242,0.263,0.221,0.505,0.27399999999999997,33.6,84.9,R,16
MIAMI MARLINS,Tanner Scott,advanced,Pitcher,Handedness,2022,vs L,13.91,4.91,2.83,0.82,0.37,0.13,0.239,0.132,1.0,0.19,0.5660000000000001,0.22699999999999998,0.455,0.318,0.14300000000000002,0.14300000000000002,0.2,0.5,0.273,0.22699999999999998,0.182,0.636,0.182,30.4,74.9,L,16
NEW YORK METS,Tylor Megill,advanced,Pitcher,Handedness,2022,vs R,12.84,1.77,7.25,0.89,0.37200000000000005,0.051,0.321,0.194,0.89,0.279,0.526,0.273,0.43200000000000005,0.295,0.077,0.154,0.105,0.444,0.267,0.289,0.133,0.556,0.311,25.7,77.0,R,16
SAN DIEGO PADRES,Mike Clevinger,advanced,Pitcher,Handedness,2022,vs R,9.16,2.41,3.8,0.0,0.25,0.066,0.184,0.186,0.96,0.255,0.737,0.14,0.52,0.34,0.059000000000000004,0.0,0.115,0.49,0.275,0.235,0.196,0.588,0.21600000000000003,27.5,82.4,R,16
PHILADELPHIA PHILLIES,Zack Wheeler,advanced,Pitcher,Handedness,2022,vs L,9.72,2.52,3.86,0.72,0.27,0.07,0.2,0.201,1.02,0.262,0.738,0.248,0.41100000000000003,0.341,0.045,0.091,0.075,0.469,0.308,0.223,0.177,0.562,0.262,33.4,81.0,L,16
PHILADELPHIA PHILLIES,Zack Wheeler,advanced,Pitcher,Handedness,2022,vs R,10.0,1.4,7.14,0.2,0.275,0.038,0.23600000000000002,0.246,1.09,0.342,0.795,0.19,0.496,0.314,0.132,0.026000000000000002,0.067,0.34700000000000003,0.322,0.331,0.231,0.529,0.24,33.4,81.0,R,16
TAMPA BAY RAYS,Josh Fleming,advanced,Pitcher,Handedness,2022,vs L,12.1,0.93,13.0,0.0,0.317,0.024,0.293,0.275,1.24,0.407,0.25,0.111,0.741,0.14800000000000002,0.0,0.0,0.2,0.444,0.33299999999999996,0.222,0.259,0.556,0.185,33.1,85.1,L,16
CINCINNATI REDS,Luis Castillo,advanced,Pitcher,Handedness,2022,vs R,9.95,2.13,4.67,0.47,0.278,0.06,0.21899999999999997,0.214,1.03,0.289,0.78,0.192,0.505,0.303,0.133,0.067,0.1,0.465,0.303,0.23199999999999998,0.182,0.5760000000000001,0.242,27.7,80.2,R,16
DETROIT TIGERS,Tarik Skubal,advanced,Pitcher,Handedness,2022,vs L,7.23,0.48,15.0,0.48,0.205,0.013999999999999999,0.192,0.257,1.02,0.309,0.484,0.182,0.6,0.218,0.0,0.083,0.061,0.35700000000000004,0.446,0.196,0.14300000000000002,0.6609999999999999,0.196,30.6,80.4,L,16
MINNESOTA TWINS,Bailey Ober,advanced,Pitcher,Handedness,2022,vs R,9.0,0.9,10.0,0.9,0.267,0.027000000000000003,0.24,0.222,0.9,0.275,0.461,0.20800000000000002,0.358,0.434,0.043,0.087,0.053,0.34,0.396,0.264,0.113,0.509,0.377,34.6,80.6,R,16
MINNESOTA TWINS,Chris Paddack,advanced,Pitcher,Handedness,2022,vs L,8.64,0.0,8.0,0.0,0.22899999999999998,0.0,0.22899999999999998,0.324,1.32,0.423,0.75,0.2,0.44,0.36,0.111,0.0,0.182,0.385,0.34600000000000003,0.26899999999999996,0.154,0.5770000000000001,0.26899999999999996,30.7,75.5,L,16
MINNESOTA TWINS,Chris Paddack,advanced,Pitcher,Handedness,2022,vs R,7.71,1.29,6.0,0.0,0.207,0.034,0.172,0.259,1.14,0.318,0.563,0.256,0.442,0.302,0.154,0.0,0.105,0.409,0.318,0.273,0.159,0.614,0.22699999999999998,30.7,75.5,R,16
NEW YORK YANKEES,Gerrit Cole,advanced,Pitcher,Handedness,2022,vs R,10.61,1.93,5.5,1.13,0.28300000000000003,0.052000000000000005,0.23199999999999998,0.241,1.16,0.313,0.836,0.20800000000000002,0.5,0.292,0.067,0.156,0.065,0.37,0.364,0.266,0.14300000000000002,0.604,0.253,32.4,74.8,R,16
