Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Chase%,IZ_Contact%,oppHandedness,Cluster
LOS ANGELES ANGELS,Noah Syndergaard,advanced,Pitcher,Handedness,2022,vs R,7.51,2.23,3.36,1.02,0.203,0.06,0.14300000000000002,0.232,1.13,0.266,0.659,0.19699999999999998,0.439,0.364,0.146,0.10400000000000001,0.086,0.45899999999999996,0.361,0.18,0.158,0.519,0.32299999999999995,28.1,81.5,R,3
HOUSTON ASTROS,Justin Verlander,advanced,Pitcher,Handedness,2022,vs R,7.74,1.15,6.71,1.32,0.22,0.033,0.187,0.215,0.93,0.238,0.662,0.182,0.409,0.409,0.215,0.12300000000000001,0.031,0.314,0.40299999999999997,0.28300000000000003,0.182,0.516,0.302,29.5,80.4,R,3
OAKLAND ATHLETICS,Cole Irvin,advanced,Pitcher,Handedness,2022,vs R,6.1,1.82,3.36,1.17,0.165,0.049,0.11599999999999999,0.248,1.17,0.271,0.7929999999999999,0.179,0.37200000000000005,0.44799999999999995,0.06,0.09,0.084,0.381,0.363,0.256,0.121,0.52,0.359,29.7,82.1,R,3
OAKLAND ATHLETICS,Paul Blackburn,advanced,Pitcher,Handedness,2022,vs L,7.63,2.47,3.08,1.03,0.201,0.065,0.136,0.267,1.33,0.315,0.804,0.263,0.414,0.32299999999999995,0.09300000000000001,0.11599999999999999,0.036000000000000004,0.40700000000000003,0.37799999999999995,0.215,0.163,0.5479999999999999,0.289,26.8,83.8,L,3
TORONTO BLUE JAYS,Ross Stripling,advanced,Pitcher,Handedness,2022,vs R,7.71,2.04,3.78,0.91,0.20199999999999999,0.054000000000000006,0.149,0.277,1.34,0.331,0.7170000000000001,0.168,0.488,0.344,0.11599999999999999,0.09300000000000001,0.066,0.384,0.344,0.272,0.168,0.488,0.344,33.3,84.6,R,3
TORONTO BLUE JAYS,Kevin Gausman,advanced,Pitcher,Handedness,2022,vs L,7.51,0.7,10.67,0.23,0.212,0.02,0.192,0.24,0.99,0.296,0.71,0.209,0.44299999999999995,0.348,0.05,0.025,0.13699999999999998,0.353,0.431,0.21600000000000003,0.18100000000000002,0.56,0.259,42.0,79.3,L,3
ATLANTA BRAVES,Max Fried,advanced,Pitcher,Handedness,2022,vs R,8.17,1.76,4.65,0.52,0.226,0.049,0.17800000000000002,0.236,1.08,0.293,0.809,0.22899999999999998,0.466,0.305,0.092,0.066,0.06,0.37799999999999995,0.355,0.267,0.19899999999999998,0.534,0.267,34.7,84.7,R,3
MILWAUKEE BREWERS,Eric Lauer,advanced,Pitcher,Handedness,2022,vs L,12.08,4.26,2.83,1.42,0.309,0.109,0.2,0.224,1.34,0.3,0.634,0.156,0.5,0.344,0.091,0.182,0.063,0.406,0.469,0.125,0.344,0.375,0.281,29.3,78.0,L,3
ST. LOUIS CARDINALS,Miles Mikolas,advanced,Pitcher,Handedness,2022,vs L,6.51,1.43,4.56,0.95,0.183,0.04,0.14300000000000002,0.21,0.94,0.23,0.735,0.22399999999999998,0.406,0.371,0.063,0.095,0.07200000000000001,0.433,0.298,0.26899999999999996,0.228,0.526,0.24600000000000002,28.6,87.0,L,3
CHICAGO CUBS,Drew Smyly,advanced,Pitcher,Handedness,2022,vs L,3.75,3.0,1.25,0.75,0.102,0.08199999999999999,0.02,0.256,1.25,0.263,0.685,0.237,0.447,0.316,0.16699999999999998,0.083,0.0,0.385,0.41,0.205,0.205,0.385,0.41,32.4,81.1,L,3
CHICAGO CUBS,Drew Smyly,advanced,Pitcher,Handedness,2022,vs R,8.27,1.93,4.29,1.93,0.21,0.049,0.161,0.279,1.38,0.313,0.795,0.113,0.491,0.396,0.16699999999999998,0.16699999999999998,0.038,0.462,0.34,0.198,0.23600000000000002,0.47200000000000003,0.292,32.4,81.1,R,3
CHICAGO CUBS,Adrian Sampson,advanced,Pitcher,Handedness,2022,vs R,9.2,1.84,5.0,1.23,0.25,0.05,0.2,0.211,1.02,0.25,0.82,0.14300000000000002,0.429,0.429,0.16699999999999998,0.111,0.16699999999999998,0.452,0.35700000000000004,0.19,0.214,0.5,0.28600000000000003,29.5,79.2,R,3
CHICAGO CUBS,Keegan Thompson,advanced,Pitcher,Handedness,2022,vs R,8.0,2.0,4.0,1.2,0.222,0.055999999999999994,0.16699999999999998,0.248,1.13,0.292,0.708,0.16699999999999998,0.42100000000000004,0.413,0.077,0.115,0.075,0.429,0.302,0.27,0.20600000000000002,0.444,0.349,27.6,81.5,R,3
CHICAGO CUBS,Kyle Hendricks,advanced,Pitcher,Handedness,2022,vs R,6.31,1.74,3.63,0.65,0.177,0.049,0.128,0.226,1.04,0.26,0.7290000000000001,0.184,0.44,0.376,0.149,0.064,0.055,0.452,0.28600000000000003,0.262,0.214,0.508,0.278,30.6,83.2,R,3
ARIZONA DIAMONDBACKS,Merrill Kelly,advanced,Pitcher,Handedness,2022,vs R,7.21,2.76,2.61,0.46,0.19699999999999998,0.075,0.121,0.242,1.21,0.294,0.6779999999999999,0.185,0.46799999999999997,0.34700000000000003,0.083,0.05,0.049,0.434,0.353,0.214,0.156,0.503,0.341,30.1,82.2,R,3
ARIZONA DIAMONDBACKS,Zach Davies,advanced,Pitcher,Handedness,2022,vs R,9.66,2.85,3.38,1.32,0.262,0.077,0.185,0.213,1.1,0.252,0.674,0.165,0.42200000000000004,0.413,0.111,0.133,0.087,0.46799999999999997,0.303,0.22899999999999998,0.193,0.505,0.303,26.8,83.9,R,3
LOS ANGELES DODGERS,Clayton Kershaw,advanced,Pitcher,Handedness,2022,vs L,8.64,4.32,2.0,0.0,0.2,0.1,0.1,0.343,1.92,0.429,0.813,0.214,0.5,0.28600000000000003,0.25,0.0,0.071,0.46399999999999997,0.429,0.107,0.321,0.35700000000000004,0.321,34.3,83.3,L,3
LOS ANGELES DODGERS,Tyler Anderson,advanced,Pitcher,Handedness,2022,vs R,7.12,1.72,4.14,0.86,0.19899999999999998,0.048,0.151,0.235,1.06,0.271,0.755,0.20199999999999999,0.34700000000000003,0.451,0.10400000000000001,0.073,0.0,0.396,0.35,0.253,0.184,0.516,0.3,34.8,81.6,R,3
