Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Chase%,IZ_Contact%,oppHandedness,Cluster
LOS ANGELES ANGELS,Shohei Ohtani,advanced,Pitcher,Handedness,2022,vs L,11.74,2.82,4.17,0.94,0.321,0.077,0.244,0.21,1.1,0.292,0.8290000000000001,0.226,0.462,0.312,0.10300000000000001,0.138,0.023,0.387,0.355,0.258,0.215,0.527,0.258,28.5,75.9,L,4
LOS ANGELES ANGELS,Shohei Ohtani,advanced,Pitcher,Handedness,2022,vs R,12.87,1.69,7.63,0.84,0.365,0.048,0.317,0.191,0.89,0.277,0.833,0.19399999999999998,0.327,0.48,0.064,0.085,0.063,0.38799999999999996,0.306,0.306,0.19399999999999998,0.561,0.245,28.5,75.9,R,4
HOUSTON ASTROS,Justin Verlander,advanced,Pitcher,Handedness,2022,vs L,9.43,2.22,4.25,0.55,0.276,0.065,0.21100000000000002,0.161,0.8,0.207,0.9520000000000001,0.222,0.376,0.402,0.17,0.064,0.068,0.353,0.361,0.28600000000000003,0.218,0.496,0.28600000000000003,29.5,80.4,L,4
HOUSTON ASTROS,Cristian Javier,advanced,Pitcher,Handedness,2022,vs R,15.17,3.09,4.92,1.03,0.424,0.086,0.33799999999999997,0.16,0.91,0.258,0.775,0.12300000000000001,0.215,0.662,0.07,0.09300000000000001,0.14300000000000002,0.485,0.28800000000000003,0.22699999999999998,0.152,0.5,0.348,25.5,74.2,R,4
OAKLAND ATHLETICS,Frankie Montas,advanced,Pitcher,Handedness,2022,vs R,10.57,1.32,8.0,0.76,0.29600000000000004,0.037000000000000005,0.259,0.236,1.03,0.314,0.743,0.242,0.40299999999999997,0.355,0.136,0.091,0.06,0.4,0.384,0.21600000000000003,0.152,0.56,0.28800000000000003,33.4,80.5,R,4
TORONTO BLUE JAYS,Alek Manoah,advanced,Pitcher,Handedness,2022,vs R,9.64,1.29,7.5,0.64,0.29,0.039,0.251,0.157,0.68,0.2,0.775,0.16399999999999998,0.425,0.41,0.127,0.073,0.08800000000000001,0.493,0.321,0.187,0.187,0.627,0.187,31.1,80.9,R,4
ATLANTA BRAVES,Spencer Strider,advanced,Pitcher,Handedness,2022,vs L,12.25,2.5,4.91,0.45,0.35100000000000003,0.071,0.27899999999999997,0.179,0.91,0.267,0.789,0.25,0.39799999999999996,0.35200000000000004,0.09699999999999999,0.065,0.028999999999999998,0.375,0.364,0.261,0.125,0.557,0.318,31.0,70.6,L,4
ATLANTA BRAVES,Spencer Strider,advanced,Pitcher,Handedness,2022,vs R,16.43,4.99,3.29,0.29,0.434,0.132,0.302,0.171,1.17,0.333,0.7020000000000001,0.2,0.382,0.418,0.13,0.043,0.048,0.23600000000000002,0.436,0.327,0.2,0.473,0.327,31.0,70.6,R,4
MILWAUKEE BREWERS,Corbin Burnes,advanced,Pitcher,Handedness,2022,vs L,11.39,2.39,4.77,0.55,0.32299999999999995,0.068,0.255,0.182,0.92,0.261,0.845,0.21899999999999997,0.526,0.254,0.10300000000000001,0.10300000000000001,0.05,0.5,0.272,0.228,0.16699999999999998,0.596,0.237,34.7,77.4,L,4
MILWAUKEE BREWERS,Corbin Burnes,advanced,Pitcher,Handedness,2022,vs R,11.3,2.04,5.54,1.41,0.324,0.059000000000000004,0.266,0.181,0.87,0.226,0.87,0.158,0.353,0.489,0.092,0.138,0.021,0.39799999999999996,0.406,0.195,0.188,0.444,0.368,34.7,77.4,R,4
MILWAUKEE BREWERS,Brandon Woodruff,advanced,Pitcher,Handedness,2022,vs L,14.94,2.01,7.43,0.57,0.433,0.057999999999999996,0.375,0.196,0.93,0.339,0.649,0.267,0.3,0.433,0.077,0.077,0.055999999999999994,0.361,0.311,0.32799999999999996,0.295,0.426,0.27899999999999997,31.7,75.1,L,4
MILWAUKEE BREWERS,Freddy Peralta,advanced,Pitcher,Handedness,2022,vs L,11.72,3.57,3.29,0.0,0.315,0.096,0.21899999999999997,0.159,0.96,0.244,0.789,0.146,0.46299999999999997,0.39,0.063,0.0,0.0,0.415,0.341,0.244,0.146,0.537,0.317,29.1,75.6,L,4
LOS ANGELES DODGERS,Clayton Kershaw,advanced,Pitcher,Handedness,2022,vs R,9.92,1.3,7.63,0.81,0.29,0.038,0.252,0.2,0.87,0.259,0.81,0.14300000000000002,0.5,0.35700000000000004,0.08,0.1,0.086,0.521,0.3,0.179,0.18600000000000003,0.521,0.293,34.3,83.3,R,4
LOS ANGELES DODGERS,Tyler Anderson,advanced,Pitcher,Handedness,2022,vs L,9.5,0.5,19.0,1.0,0.257,0.013999999999999999,0.243,0.221,0.89,0.265,0.802,0.157,0.51,0.33299999999999996,0.235,0.11800000000000001,0.154,0.41200000000000003,0.275,0.314,0.353,0.431,0.21600000000000003,34.8,81.6,L,4
