Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Chase%,IZ_Contact%,oppHandedness,Cluster
LOS ANGELES ANGELS,Reid Detmers,advanced,Pitcher,Handedness,2022,vs L,6.48,1.62,4.0,1.62,0.203,0.051,0.153,0.125,0.6,0.098,0.69,0.159,0.47700000000000004,0.364,0.063,0.188,0.095,0.43200000000000005,0.386,0.182,0.136,0.568,0.295,26.9,81.7,L,0
LOS ANGELES ANGELS,Patrick Sandoval,advanced,Pitcher,Handedness,2022,vs L,9.5,2.5,3.8,0.0,0.264,0.069,0.19399999999999998,0.169,0.89,0.234,0.765,0.13,0.457,0.413,0.105,0.0,0.14300000000000002,0.319,0.46799999999999997,0.213,0.17,0.66,0.17,29.8,78.8,L,0
LOS ANGELES ANGELS,Michael Lorenzen,advanced,Pitcher,Handedness,2022,vs R,7.5,2.14,3.5,0.64,0.21,0.06,0.15,0.216,1.02,0.259,0.502,0.16,0.513,0.32799999999999996,0.154,0.077,0.049,0.40299999999999997,0.303,0.294,0.17600000000000002,0.613,0.21,28.9,83.1,R,0
HOUSTON ASTROS,Framber Valdez,advanced,Pitcher,Handedness,2022,vs L,9.6,4.2,2.29,0.0,0.24600000000000002,0.10800000000000001,0.138,0.214,1.27,0.293,0.8,0.317,0.537,0.146,0.16699999999999998,0.0,0.0,0.341,0.39,0.268,0.22,0.512,0.268,27.8,87.0,L,0
HOUSTON ASTROS,Framber Valdez,advanced,Pitcher,Handedness,2022,vs R,7.66,3.16,2.42,0.57,0.213,0.08800000000000001,0.125,0.205,1.09,0.25,0.7609999999999999,0.161,0.69,0.149,0.079,0.158,0.034,0.42200000000000004,0.337,0.24,0.151,0.5660000000000001,0.28300000000000003,27.8,87.0,R,0
OAKLAND ATHLETICS,Frankie Montas,advanced,Pitcher,Handedness,2022,vs L,8.08,3.12,2.59,1.29,0.222,0.086,0.136,0.217,1.14,0.246,0.693,0.156,0.5329999999999999,0.311,0.14300000000000002,0.16699999999999998,0.042,0.41600000000000004,0.336,0.248,0.182,0.547,0.27,33.4,80.5,L,0
OAKLAND ATHLETICS,Paul Blackburn,advanced,Pitcher,Handedness,2022,vs R,6.85,2.09,3.27,0.76,0.188,0.057,0.13,0.226,1.08,0.261,0.764,0.19899999999999998,0.539,0.262,0.081,0.10800000000000001,0.079,0.43,0.345,0.225,0.162,0.535,0.303,26.8,83.8,R,0
OAKLAND ATHLETICS,Daulton Jefferies,advanced,Pitcher,Handedness,2022,vs L,7.91,2.33,3.4,0.47,0.213,0.063,0.15,0.243,1.19,0.304,0.752,0.179,0.46399999999999997,0.35700000000000004,0.1,0.05,0.0,0.456,0.316,0.228,0.12300000000000001,0.684,0.193,27.9,83.7,L,0
TORONTO BLUE JAYS,Ross Stripling,advanced,Pitcher,Handedness,2022,vs L,6.83,1.63,4.2,0.33,0.196,0.047,0.15,0.198,0.9,0.238,0.72,0.198,0.457,0.34600000000000003,0.036000000000000004,0.036000000000000004,0.0,0.42,0.34600000000000003,0.235,0.14800000000000002,0.568,0.284,33.3,84.6,L,0
TORONTO BLUE JAYS,Max Castillo,advanced,Pitcher,Handedness,2022,vs L,10.29,1.29,8.0,2.57,0.28600000000000003,0.036000000000000004,0.25,0.222,1.0,0.235,0.9520000000000001,0.158,0.474,0.368,0.0,0.28600000000000003,0.0,0.526,0.263,0.21100000000000002,0.158,0.684,0.158,30.0,86.6,L,0
ATLANTA BRAVES,Max Fried,advanced,Pitcher,Handedness,2022,vs L,9.24,1.78,5.2,0.36,0.257,0.05,0.20800000000000002,0.221,1.03,0.294,0.703,0.179,0.612,0.209,0.14300000000000002,0.071,0.049,0.348,0.406,0.24600000000000002,0.13,0.609,0.261,34.7,84.7,L,0
ATLANTA BRAVES,Charlie Morton,advanced,Pitcher,Handedness,2022,vs R,9.54,2.34,4.08,0.72,0.26,0.064,0.196,0.22,1.08,0.285,0.687,0.24100000000000002,0.45899999999999996,0.301,0.075,0.1,0.049,0.366,0.38799999999999996,0.24600000000000002,0.172,0.575,0.254,27.0,82.2,R,0
ATLANTA BRAVES,Kyle Wright,advanced,Pitcher,Handedness,2022,vs L,8.94,3.78,2.36,0.69,0.24,0.10099999999999999,0.138,0.211,1.18,0.265,0.741,0.16699999999999998,0.46399999999999997,0.37,0.02,0.078,0.063,0.436,0.34299999999999997,0.221,0.114,0.6,0.28600000000000003,27.2,80.1,L,0
ATLANTA BRAVES,Kyle Wright,advanced,Pitcher,Handedness,2022,vs R,9.06,1.95,4.64,0.71,0.251,0.054000000000000006,0.19699999999999998,0.246,1.13,0.316,0.812,0.16899999999999998,0.596,0.235,0.094,0.125,0.07400000000000001,0.41200000000000003,0.456,0.132,0.17600000000000002,0.574,0.25,27.2,80.1,R,0
MILWAUKEE BREWERS,Aaron Ashby,advanced,Pitcher,Handedness,2022,vs R,9.88,3.88,2.55,1.24,0.257,0.10099999999999999,0.156,0.236,1.33,0.295,0.76,0.146,0.65,0.204,0.0,0.25,0.124,0.43200000000000005,0.353,0.21600000000000003,0.187,0.547,0.266,32.3,80.5,R,0
ST. LOUIS CARDINALS,Miles Mikolas,advanced,Pitcher,Handedness,2022,vs R,7.46,2.06,3.62,0.95,0.21100000000000002,0.057999999999999996,0.152,0.217,1.02,0.252,0.853,0.193,0.47200000000000003,0.335,0.07400000000000001,0.111,0.039,0.42200000000000004,0.373,0.205,0.155,0.534,0.311,28.6,87.0,R,0
