Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Chase%,IZ_Contact%,oppHandedness,Cluster
HOUSTON ASTROS,Jake Odorizzi,advanced,Pitcher,Handedness,2022,vs L,4.64,3.8,1.22,0.42,0.125,0.102,0.023,0.234,1.27,0.258,0.564,0.212,0.28800000000000003,0.5,0.242,0.03,0.053,0.284,0.373,0.34299999999999997,0.254,0.537,0.209,28.0,84.7,L,19
HOUSTON ASTROS,Jake Odorizzi,advanced,Pitcher,Handedness,2022,vs R,8.44,2.11,4.0,0.42,0.23,0.057,0.172,0.244,1.17,0.311,0.763,0.242,0.387,0.371,0.13,0.043,0.083,0.258,0.355,0.387,0.19399999999999998,0.516,0.29,28.0,84.7,R,19
OAKLAND ATHLETICS,Cole Irvin,advanced,Pitcher,Handedness,2022,vs L,4.95,1.8,2.75,0.9,0.141,0.051,0.09,0.222,1.0,0.233,0.7140000000000001,0.271,0.424,0.305,0.055999999999999994,0.111,0.0,0.306,0.387,0.306,0.09699999999999999,0.677,0.226,29.7,82.1,L,19
OAKLAND ATHLETICS,Daulton Jefferies,advanced,Pitcher,Handedness,2022,vs R,4.95,1.35,3.67,1.35,0.12,0.033,0.087,0.322,1.55,0.338,0.46799999999999997,0.14300000000000002,0.46799999999999997,0.39,0.033,0.1,0.055999999999999994,0.377,0.325,0.299,0.13,0.506,0.364,27.9,83.7,R,19
TORONTO BLUE JAYS,Alek Manoah,advanced,Pitcher,Handedness,2022,vs L,6.45,2.96,2.18,1.05,0.16699999999999998,0.077,0.09,0.256,1.32,0.283,0.828,0.233,0.34600000000000003,0.42100000000000004,0.134,0.09,0.036000000000000004,0.445,0.28,0.27399999999999997,0.183,0.585,0.23199999999999998,31.1,80.9,L,19
CHICAGO CUBS,Adrian Sampson,advanced,Pitcher,Handedness,2022,vs L,5.11,1.46,3.5,0.73,0.14,0.04,0.1,0.271,1.22,0.3,0.515,0.293,0.439,0.268,0.0,0.091,0.0,0.341,0.39,0.268,0.073,0.61,0.317,29.5,79.2,L,19
ARIZONA DIAMONDBACKS,Madison Bumgarner,advanced,Pitcher,Handedness,2022,vs L,4.87,3.54,1.38,0.89,0.11800000000000001,0.086,0.032,0.274,1.52,0.296,0.685,0.222,0.33299999999999996,0.444,0.063,0.063,0.125,0.41100000000000003,0.301,0.28800000000000003,0.11,0.5479999999999999,0.342,25.5,85.4,L,19
ARIZONA DIAMONDBACKS,Zac Gallen,advanced,Pitcher,Handedness,2022,vs R,8.66,3.02,2.87,1.01,0.221,0.077,0.14400000000000002,0.25,1.3,0.304,0.759,0.2,0.408,0.392,0.11800000000000001,0.098,0.113,0.385,0.292,0.32299999999999995,0.138,0.569,0.292,31.6,87.5,R,19
ARIZONA DIAMONDBACKS,Humberto Castellanos,advanced,Pitcher,Handedness,2022,vs L,5.14,2.57,2.0,1.71,0.138,0.069,0.069,0.256,1.24,0.246,0.539,0.254,0.32799999999999996,0.418,0.14300000000000002,0.14300000000000002,0.091,0.397,0.324,0.27899999999999997,0.11800000000000001,0.618,0.265,26.9,87.7,L,19
CLEVELAND GUARDIANS,Cal Quantrill,advanced,Pitcher,Handedness,2022,vs L,6.64,3.98,1.67,1.33,0.172,0.10300000000000001,0.069,0.257,1.4,0.277,0.685,0.23399999999999999,0.371,0.395,0.122,0.122,0.043,0.29600000000000004,0.35200000000000004,0.35200000000000004,0.10400000000000001,0.544,0.35200000000000004,32.7,86.0,L,19
CLEVELAND GUARDIANS,Cal Quantrill,advanced,Pitcher,Handedness,2022,vs R,4.67,1.67,2.8,1.0,0.124,0.044000000000000004,0.08,0.274,1.24,0.288,0.767,0.221,0.42,0.359,0.10800000000000001,0.092,0.039,0.41,0.344,0.24600000000000002,0.19699999999999998,0.519,0.284,32.7,86.0,R,19
SEATTLE MARINERS,Chris Flexen,advanced,Pitcher,Handedness,2022,vs L,6.92,4.15,1.67,0.69,0.18100000000000002,0.10800000000000001,0.07200000000000001,0.231,1.33,0.27,0.858,0.254,0.298,0.447,0.157,0.059000000000000004,0.08800000000000001,0.34700000000000003,0.322,0.331,0.18600000000000003,0.585,0.22899999999999998,27.0,86.6,L,19
WASHINGTON NATIONALS,Jackson Tetreault,advanced,Pitcher,Handedness,2022,vs L,3.72,2.79,1.33,0.0,0.105,0.079,0.026000000000000002,0.171,0.93,0.194,0.667,0.09699999999999999,0.32299999999999995,0.581,0.111,0.0,0.0,0.32299999999999995,0.32299999999999995,0.355,0.09699999999999999,0.452,0.452,20.5,87.6,L,19
BALTIMORE ORIOLES,Spenser Watkins,advanced,Pitcher,Handedness,2022,vs R,5.14,3.21,1.6,1.61,0.134,0.084,0.05,0.255,1.32,0.259,0.636,0.156,0.311,0.5329999999999999,0.16699999999999998,0.10400000000000001,0.071,0.389,0.3,0.311,0.17800000000000002,0.544,0.278,25.3,86.7,R,19
BALTIMORE ORIOLES,Tyler Wells,advanced,Pitcher,Handedness,2022,vs R,4.93,3.0,1.64,1.29,0.132,0.08,0.052000000000000005,0.237,1.21,0.238,0.757,0.172,0.32799999999999996,0.5,0.149,0.09,0.045,0.41200000000000003,0.257,0.331,0.16899999999999998,0.581,0.25,30.2,82.3,R,19
BALTIMORE ORIOLES,Dean Kremer,advanced,Pitcher,Handedness,2022,vs R,5.21,1.89,2.75,0.47,0.136,0.049,0.086,0.27,1.26,0.302,0.813,0.109,0.391,0.5,0.063,0.031,0.04,0.297,0.344,0.359,0.109,0.547,0.344,30.4,81.5,R,19
PHILADELPHIA PHILLIES,Kyle Gibson,advanced,Pitcher,Handedness,2022,vs R,4.93,3.0,1.64,1.29,0.132,0.08,0.052000000000000005,0.237,1.21,0.238,0.757,0.172,0.32799999999999996,0.5,0.149,0.09,0.045,0.41200000000000003,0.257,0.331,0.16899999999999998,0.581,0.25,30.2,83.7,R,19
