Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Chase%,IZ_Contact%,oppHandedness,Cluster
LOS ANGELES ANGELS,Michael Lorenzen,advanced,Pitcher,Handedness,2022,vs L,6.21,6.21,1.0,1.55,0.146,0.146,0.0,0.284,1.83,0.308,0.83,0.168,0.526,0.305,0.069,0.172,0.08,0.41700000000000004,0.344,0.24,0.146,0.531,0.32299999999999995,28.9,83.1,L,2
OAKLAND ATHLETICS,Daulton Jefferies,advanced,Pitcher,Handedness,2022,vs R,4.95,1.35,3.67,1.35,0.12,0.033,0.087,0.322,1.55,0.338,0.46799999999999997,0.14300000000000002,0.46799999999999997,0.39,0.033,0.1,0.055999999999999994,0.377,0.325,0.299,0.13,0.506,0.364,27.9,83.7,R,2
TORONTO BLUE JAYS,Yusei Kikuchi,advanced,Pitcher,Handedness,2022,vs R,11.42,6.7,1.7,2.17,0.264,0.155,0.109,0.27,1.81,0.336,0.754,0.201,0.433,0.366,0.02,0.245,0.138,0.493,0.35100000000000003,0.157,0.09,0.493,0.418,23.8,76.2,R,2
ATLANTA BRAVES,Ian Anderson,advanced,Pitcher,Handedness,2022,vs R,7.49,3.74,2.0,1.58,0.18100000000000002,0.09,0.09,0.314,1.71,0.354,0.605,0.243,0.447,0.309,0.064,0.17,0.08800000000000001,0.493,0.303,0.204,0.158,0.526,0.316,28.2,81.9,R,2
MILWAUKEE BREWERS,Jason Alexander,advanced,Pitcher,Handedness,2022,vs L,5.19,4.67,1.11,1.56,0.115,0.10300000000000001,0.011000000000000001,0.347,1.96,0.349,0.6920000000000001,0.172,0.375,0.45299999999999996,0.034,0.10300000000000001,0.125,0.318,0.28800000000000003,0.39399999999999996,0.152,0.5,0.348,25.6,90.5,L,2
MILWAUKEE BREWERS,Adrian Houser,advanced,Pitcher,Handedness,2022,vs L,7.96,4.55,1.75,1.42,0.184,0.105,0.079,0.311,1.83,0.359,0.745,0.21,0.44799999999999995,0.34299999999999997,0.139,0.139,0.043,0.37,0.361,0.26899999999999996,0.16699999999999998,0.47200000000000003,0.361,26.9,85.1,L,2
ST. LOUIS CARDINALS,Dakota Hudson,advanced,Pitcher,Handedness,2022,vs R,5.59,3.09,1.81,0.96,0.149,0.08199999999999999,0.067,0.298,1.44,0.322,0.645,0.21899999999999997,0.445,0.336,0.102,0.102,0.046,0.37799999999999995,0.405,0.21600000000000003,0.142,0.514,0.345,21.9,90.1,R,2
ST. LOUIS CARDINALS,Andre Pallante,advanced,Pitcher,Handedness,2022,vs R,7.41,4.54,1.63,1.19,0.182,0.11199999999999999,0.071,0.298,1.7,0.348,0.8420000000000001,0.217,0.608,0.175,0.095,0.23800000000000002,0.027000000000000003,0.41700000000000004,0.258,0.325,0.133,0.575,0.292,21.8,86.9,R,2
CHICAGO CUBS,Alec Mills,advanced,Pitcher,Handedness,2022,vs L,3.0,2.0,1.5,2.0,0.067,0.044000000000000004,0.022000000000000002,0.39,2.0,0.378,0.556,0.231,0.359,0.41,0.25,0.125,0.0,0.513,0.282,0.205,0.205,0.385,0.41,33.1,92.7,L,2
ARIZONA DIAMONDBACKS,Dallas Keuchel,advanced,Pitcher,Handedness,2022,vs R,7.19,4.14,1.74,2.18,0.161,0.09300000000000001,0.068,0.341,1.98,0.371,0.456,0.222,0.49,0.28800000000000003,0.045,0.22699999999999998,0.067,0.47100000000000003,0.32,0.209,0.163,0.542,0.294,29.7,87.7,R,2
