Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Chase%,IZ_Contact%,oppHandedness,Cluster
BOSTON RED SOX,Rich Hill,advanced,Pitcher,Handedness,2022,vs R,7.01,2.83,2.47,1.04,0.184,0.07400000000000001,0.109,0.256,1.31,0.294,0.72,0.209,0.406,0.385,0.09699999999999999,0.09699999999999999,0.079,0.428,0.374,0.198,0.171,0.556,0.273,25.4,84.7,R,9
BOSTON RED SOX,Michael Wacha,advanced,Pitcher,Handedness,2022,vs R,5.7,2.48,2.3,0.99,0.147,0.064,0.083,0.264,1.32,0.288,0.7140000000000001,0.213,0.467,0.32,0.10300000000000001,0.10300000000000001,0.08800000000000001,0.418,0.361,0.221,0.131,0.59,0.27899999999999997,25.8,86.2,R,9
CINCINNATI REDS,Vladimir Gutierrez,advanced,Pitcher,Handedness,2022,vs R,5.79,3.38,1.71,1.45,0.14300000000000002,0.083,0.06,0.257,1.34,0.268,0.746,0.11900000000000001,0.441,0.441,0.115,0.115,0.077,0.441,0.28800000000000003,0.271,0.203,0.508,0.28800000000000003,21.0,85.1,R,9
CINCINNATI REDS,Connor Overton,advanced,Pitcher,Handedness,2022,vs L,1.88,2.51,0.75,0.0,0.06,0.08,-0.02,0.174,0.84,0.186,0.833,0.209,0.37200000000000005,0.419,0.055999999999999994,0.0,0.063,0.395,0.37200000000000005,0.233,0.11599999999999999,0.628,0.256,17.8,84.5,L,9
CINCINNATI REDS,Connor Overton,advanced,Pitcher,Handedness,2022,vs R,6.1,2.61,2.33,0.0,0.179,0.077,0.10300000000000001,0.2,0.97,0.241,0.7,0.207,0.517,0.276,0.375,0.0,0.0,0.345,0.483,0.172,0.172,0.552,0.276,17.8,84.5,R,9
COLORADO ROCKIES,Austin Gomber,advanced,Pitcher,Handedness,2022,vs L,6.2,1.77,3.5,0.44,0.177,0.051,0.127,0.216,0.98,0.254,0.7140000000000001,0.2,0.38299999999999995,0.41700000000000004,0.08,0.04,0.0,0.38299999999999995,0.33299999999999996,0.28300000000000003,0.15,0.5329999999999999,0.317,27.3,85.1,L,9
COLORADO ROCKIES,Chad Kuhl,advanced,Pitcher,Handedness,2022,vs R,6.02,2.01,3.0,0.67,0.16899999999999998,0.055999999999999994,0.113,0.245,1.14,0.281,0.742,0.203,0.374,0.423,0.096,0.057999999999999996,0.065,0.371,0.315,0.315,0.153,0.573,0.27399999999999997,26.2,83.1,R,9
COLORADO ROCKIES,Kyle Freeland,advanced,Pitcher,Handedness,2022,vs R,5.5,2.75,2.0,0.72,0.14400000000000002,0.07200000000000001,0.07200000000000001,0.257,1.29,0.282,0.659,0.22,0.449,0.331,0.111,0.07400000000000001,0.036000000000000004,0.47,0.312,0.21899999999999997,0.138,0.53,0.332,26.2,87.7,R,9
KANSAS CITY ROYALS,Zack Greinke,advanced,Pitcher,Handedness,2022,vs L,3.19,2.03,1.57,1.16,0.086,0.055,0.031,0.263,1.23,0.257,0.659,0.231,0.47200000000000003,0.29600000000000004,0.094,0.125,0.0,0.385,0.358,0.257,0.193,0.523,0.284,30.5,88.6,L,9
DETROIT TIGERS,Drew Hutchison,advanced,Pitcher,Handedness,2022,vs R,4.15,3.32,1.25,0.42,0.109,0.087,0.022000000000000002,0.235,1.25,0.247,0.586,0.19399999999999998,0.47200000000000003,0.33299999999999996,0.042,0.042,0.11800000000000001,0.392,0.365,0.243,0.054000000000000006,0.568,0.37799999999999995,30.6,86.3,R,9
DETROIT TIGERS,Michael Pineda,advanced,Pitcher,Handedness,2022,vs R,4.66,0.47,10.0,1.4,0.135,0.013999999999999999,0.122,0.26,1.03,0.267,0.8859999999999999,0.175,0.381,0.444,0.107,0.107,0.042,0.381,0.23800000000000002,0.381,0.127,0.5710000000000001,0.302,23.9,89.4,R,9
DETROIT TIGERS,Beau Brieske,advanced,Pitcher,Handedness,2022,vs L,6.44,3.22,2.0,0.99,0.17300000000000001,0.087,0.087,0.206,1.13,0.224,0.763,0.13,0.40700000000000003,0.46299999999999997,0.04,0.08,0.045,0.405,0.369,0.225,0.18,0.523,0.297,25.5,83.4,L,9
DETROIT TIGERS,Casey Mize,advanced,Pitcher,Handedness,2022,vs L,2.08,4.15,0.5,2.08,0.059000000000000004,0.11800000000000001,-0.059000000000000004,0.133,0.92,0.077,0.769,0.077,0.385,0.5379999999999999,0.0,0.14300000000000002,0.0,0.14300000000000002,0.5710000000000001,0.28600000000000003,0.0,0.7859999999999999,0.214,18.8,95.0,L,9
CHICAGO WHITE SOX,Michael Kopech,advanced,Pitcher,Handedness,2022,vs R,6.41,3.5,1.83,0.97,0.183,0.1,0.083,0.156,0.93,0.163,0.703,0.125,0.391,0.484,0.113,0.081,0.06,0.43799999999999994,0.336,0.22699999999999998,0.156,0.602,0.242,25.0,81.8,R,9
