Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Pitches,Balls,Strikes
PHILADELPHIA PHILLIES,Damon Jones,batted-ball,Pitcher,Handedness,2022,vs R,2.0,25.0%,50.0%,25.0%,0.0%,0.0%,0.0%,0.0%,50.0%,25.0%,25.0%,37.5%,37.5%,25.0%,70,27,43
PHILADELPHIA PHILLIES,Aaron Nola,batted-ball,Pitcher,Handedness,2022,vs L,1.00,23.0%,38.5%,38.5%,11.5%,17.3%,7.7%,33.3%,44.9%,34.8%,20.3%,17.4%,49.3%,33.3%,778,311,467
PHILADELPHIA PHILLIES,Aaron Nola,batted-ball,Pitcher,Handedness,2022,vs R,1.17,19.6%,43.3%,37.1%,13.9%,5.6%,8.3%,0.0%,45.4%,35.1%,19.6%,19.1%,54.6%,26.3%,955,333,622
PHILADELPHIA PHILLIES,Kyle Gibson,batted-ball,Pitcher,Handedness,2022,vs L,0.94,15.7%,40.7%,43.5%,21.3%,8.5%,4.5%,0.0%,45.0%,29.4%,25.7%,25.7%,50.5%,23.9%,554,178,376
PHILADELPHIA PHILLIES,Kyle Gibson,batted-ball,Pitcher,Handedness,2022,vs R,0.66,17.2%,32.8%,50.0%,14.9%,9.0%,4.5%,50.0%,41.2%,25.7%,33.1%,16.9%,58.1%,25.0%,698,241,457
PHILADELPHIA PHILLIES,JoJo Romero,batted-ball,Pitcher,Handedness,2022,vs L,0.63,31.1%,26.7%,42.2%,0.0%,5.3%,8.3%,0.0%,35.6%,40.0%,24.4%,22.2%,46.7%,31.1%,239,101,138
PHILADELPHIA PHILLIES,JoJo Romero,batted-ball,Pitcher,Handedness,2022,vs R,2.06,22.2%,52.4%,25.4%,31.3%,0.0%,9.1%,0.0%,44.4%,38.1%,17.5%,15.9%,50.8%,33.3%,420,156,264
PHILADELPHIA PHILLIES,Jean Segura,batted-ball,Pitcher,Handedness,2022,vs L,2.31,21.8%,54.5%,23.6%,0.0%,15.4%,3.3%,0.0%,43.6%,38.2%,18.2%,7.3%,56.4%,36.4%,356,145,211
PHILADELPHIA PHILLIES,Jean Segura,batted-ball,Pitcher,Handedness,2022,vs R,0.89,26.7%,34.4%,38.9%,5.7%,25.7%,12.9%,0.0%,32.2%,37.8%,30.0%,12.2%,50.0%,37.8%,476,178,298
PHILADELPHIA PHILLIES,Johan Camargo,batted-ball,Pitcher,Handedness,2022,vs L,3.00,33.3%,50.0%,16.7%,0.0%,0.0%,0.0%,0.0%,33.3%,33.3%,33.3%,16.7%,50.0%,33.3%,28,15,13
PHILADELPHIA PHILLIES,Johan Camargo,batted-ball,Pitcher,Handedness,2022,vs R,1.25,10.0%,50.0%,40.0%,0.0%,0.0%,20.0%,0.0%,40.0%,40.0%,20.0%,20.0%,70.0%,10.0%,55,25,30
PHILADELPHIA PHILLIES,Nick Maton,batted-ball,Pitcher,Handedness,2022,vs L,1.00,14.3%,42.9%,42.9%,0.0%,0.0%,0.0%,0.0%,57.1%,28.6%,14.3%,14.3%,57.1%,28.6%,36,13,23
PHILADELPHIA PHILLIES,Nick Maton,batted-ball,Pitcher,Handedness,2022,vs R,1.17,27.8%,38.9%,33.3%,33.3%,0.0%,14.3%,0.0%,55.6%,27.8%,16.7%,33.3%,44.4%,22.2%,99,34,65
PHILADELPHIA PHILLIES,Bryce Harper,batted-ball,Pitcher,Handedness,2022,vs L,0.54,28.6%,25.0%,46.4%,7.7%,7.7%,0.0%,0.0%,46.4%,32.1%,21.4%,17.9%,39.3%,42.9%,169,66,103
PHILADELPHIA PHILLIES,Bryce Harper,batted-ball,Pitcher,Handedness,2022,vs R,0.52,20.5%,27.3%,52.3%,0.0%,13.0%,16.7%,0.0%,48.9%,31.1%,20.0%,6.7%,48.9%,44.4%,281,110,171
PHILADELPHIA PHILLIES,Hans Crouse,batted-ball,Pitcher,Handedness,2022,vs L,1.00,23.1%,38.5%,38.5%,0.0%,0.0%,0.0%,0.0%,61.5%,23.1%,15.4%,0.0%,53.8%,46.2%,56,18,38
PHILADELPHIA PHILLIES,Hans Crouse,batted-ball,Pitcher,Handedness,2022,vs R,0.70,22.7%,31.8%,45.5%,10.0%,30.0%,0.0%,0.0%,18.2%,59.1%,22.7%,18.2%,40.9%,40.9%,152,60,92
