Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Pitches,Balls,Strikes
MIAMI MARLINS,Jesús Luzardo,batted-ball,Pitcher,Handedness,2022,vs L,4.5,15.4%,69.2%,15.4%,50.0%,0.0%,0.0%,0.0%,30.8%,53.8%,15.4%,30.8%,38.5%,30.8%,89,29,60
MIAMI MARLINS,Jesús Luzardo,batted-ball,Pitcher,Handedness,2022,vs R,0.68,24.5%,30.6%,44.9%,4.5%,18.2%,0.0%,0.0%,51.0%,34.7%,14.3%,10.2%,44.9%,44.9%,427,163,264
MIAMI MARLINS,Cody Poteet,batted-ball,Pitcher,Handedness,2022,vs L,1.82,16.2%,54.1%,29.7%,0.0%,0.0%,5.0%,0.0%,54.1%,32.4%,13.5%,10.8%,56.8%,32.4%,204,71,133
MIAMI MARLINS,Cody Poteet,batted-ball,Pitcher,Handedness,2022,vs R,2.11,15.2%,57.6%,27.3%,0.0%,22.2%,5.3%,0.0%,51.5%,24.2%,24.2%,12.1%,57.6%,30.3%,192,74,118
MIAMI MARLINS,Anthony Bender,batted-ball,Pitcher,Handedness,2022,vs L,2.4,22.7%,54.5%,22.7%,0.0%,20.0%,8.3%,0.0%,40.9%,22.7%,36.4%,9.1%,72.7%,18.2%,101,38,63
MIAMI MARLINS,Anthony Bender,batted-ball,Pitcher,Handedness,2022,vs R,2.2,20.0%,55.0%,25.0%,20.0%,40.0%,0.0%,0.0%,35.0%,40.0%,25.0%,30.0%,45.0%,25.0%,114,38,76
MIAMI MARLINS,Cole Sulser,batted-ball,Pitcher,Handedness,2022,vs L,1.33,30.0%,40.0%,30.0%,11.1%,0.0%,8.3%,0.0%,41.9%,32.3%,25.8%,12.9%,45.2%,41.9%,183,49,134
MIAMI MARLINS,Cole Sulser,batted-ball,Pitcher,Handedness,2022,vs R,1.1,22.2%,40.7%,37.0%,10.0%,20.0%,0.0%,100.0%,46.4%,35.7%,17.9%,14.3%,39.3%,46.4%,219,84,135
MIAMI MARLINS,Jazz Chisholm Jr.,batted-ball,Pitcher,Handedness,2022,vs L,2.31,21.8%,54.5%,23.6%,0.0%,15.4%,3.3%,0.0%,43.6%,38.2%,18.2%,7.3%,56.4%,36.4%,356,145,211
MIAMI MARLINS,Jazz Chisholm Jr.,batted-ball,Pitcher,Handedness,2022,vs R,0.89,26.7%,34.4%,38.9%,5.7%,25.7%,12.9%,0.0%,32.2%,37.8%,30.0%,12.2%,50.0%,37.8%,476,178,298
MIAMI MARLINS,Jon Berti,batted-ball,Pitcher,Handedness,2022,vs L,3.00,33.3%,50.0%,16.7%,0.0%,0.0%,0.0%,0.0%,33.3%,33.3%,33.3%,16.7%,50.0%,33.3%,28,15,13
MIAMI MARLINS,Jon Berti,batted-ball,Pitcher,Handedness,2022,vs R,1.25,10.0%,50.0%,40.0%,0.0%,0.0%,20.0%,0.0%,40.0%,40.0%,20.0%,20.0%,70.0%,10.0%,55,25,30
MIAMI MARLINS,Paul Campbell,batted-ball,Pitcher,Handedness,2022,vs L,2.00,0.0%,66.7%,33.3%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,66.7%,33.3%,18,7,11
MIAMI MARLINS,Paul Campbell,batted-ball,Pitcher,Handedness,2022,vs R,0.50,14.3%,28.6%,57.1%,0.0%,25.0%,0.0%,0.0%,57.1%,0.0%,42.9%,0.0%,57.1%,42.9%,48,9,39
