Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
OAKLAND ATHLETICS,Vimael Machín,advanced,Batter,Handedness,2022,vs L as L,0.0%,0.0%,0.00,.500,.500,.500,1.000,.000,.500,0,0.2,.442,198
OAKLAND ATHLETICS,Vimael Machín,advanced,Batter,Handedness,2022,vs R as L,7.1%,17.9%,0.40,.240,.286,.360,.646,.120,.250,3,-0.6,.281,85
OAKLAND ATHLETICS,Vimael Machín,advanced,Batter,Handedness,2022,vs L,0.0%,0.0%,0.00,.500,.500,.500,1.000,.000,.500,0,0.2,.442,198
OAKLAND ATHLETICS,Vimael Machín,advanced,Batter,Handedness,2022,vs R,7.1%,17.9%,0.40,.240,.286,.360,.646,.120,.250,3,-0.6,.281,85
OAKLAND ATHLETICS,Ramón Laureano,advanced,Batter,Handedness,2022,vs L as R,14.3%,18.6%,0.77,.298,.429,.509,.937,.211,.357,14,5.6,.410,176
OAKLAND ATHLETICS,Ramón Laureano,advanced,Batter,Handedness,2022,vs R as R,6.6%,24.6%,0.27,.217,.287,.355,.643,.138,.264,16,-3.2,.286,89
OAKLAND ATHLETICS,Ramón Laureano,advanced,Batter,Handedness,2022,vs L,14.3%,18.6%,0.77,.298,.429,.509,.937,.211,.357,14,5.6,.410,176
OAKLAND ATHLETICS,Ramón Laureano,advanced,Batter,Handedness,2022,vs R,6.6%,24.6%,0.27,.217,.287,.355,.643,.138,.264,16,-3.2,.286,89
OAKLAND ATHLETICS,Sean Murphy,advanced,Batter,Handedness,2022,vs L as R,14.0%,21.0%,0.67,.222,.350,.444,.794,.222,.241,14,2.7,.344,129
OAKLAND ATHLETICS,Sean Murphy,advanced,Batter,Handedness,2022,vs R as R,3.6%,22.0%,0.16,.246,.288,.401,.689,.155,.297,24,-2.2,.298,97
OAKLAND ATHLETICS,Sean Murphy,advanced,Batter,Handedness,2022,vs L,14.0%,21.0%,0.67,.222,.350,.444,.794,.222,.241,14,2.7,.344,129
OAKLAND ATHLETICS,Sean Murphy,advanced,Batter,Handedness,2022,vs R,3.6%,22.0%,0.16,.246,.288,.401,.689,.155,.297,24,-2.2,.298,97
OAKLAND ATHLETICS,Seth Brown,advanced,Batter,Handedness,2022,vs L as L,4.2%,31.3%,0.13,.152,.188,.261,.448,.109,.200,1,-4.3,.198,27
OAKLAND ATHLETICS,Seth Brown,advanced,Batter,Handedness,2022,vs R as L,7.1%,24.5%,0.29,.231,.290,.434,.725,.204,.273,28,0.4,.312,107
OAKLAND ATHLETICS,Seth Brown,advanced,Batter,Handedness,2022,vs L,4.2%,31.3%,0.13,.152,.188,.261,.448,.109,.200,1,-4.3,.198,27
OAKLAND ATHLETICS,Seth Brown,advanced,Batter,Handedness,2022,vs R,7.1%,24.5%,0.29,.231,.290,.434,.725,.204,.273,28,0.4,.312,107
OAKLAND ATHLETICS,Elvis Andrus,advanced,Batter,Handedness,2022,vs L as R,10.6%,16.0%,0.67,.226,.309,.357,.666,.131,.254,10,-1.0,.297,97
OAKLAND ATHLETICS,Elvis Andrus,advanced,Batter,Handedness,2022,vs R as R,7.9%,13.8%,0.57,.226,.291,.366,.656,.140,.247,20,-3.2,.290,92
