Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
KANSAS CITY ROYALS,Michael A. Taylor,advanced,Pitcher,Handedness,2022,vs L,0.0,13.5,0.0,0.0,0.0%,20.0%,-20.0%,0.5,4.5,0.5,100.0%,7.61,9.85
KANSAS CITY ROYALS,Michael A. Taylor,advanced,Pitcher,Handedness,2022,vs R,13.5,6.75,2.0,6.75,25.0%,12.5%,12.5%,0.429,3.0,0.5,76.9%,12.11,5.71
KANSAS CITY ROYALS,Zack Greinke,advanced,Pitcher,Handedness,2022,vs L,3.19,2.03,1.57,1.16,8.6%,5.5%,3.1%,0.263,1.23,0.257,65.9%,4.85,4.71
KANSAS CITY ROYALS,Zack Greinke,advanced,Pitcher,Handedness,2022,vs R,5.91,1.48,4.0,1.27,15.2%,3.8%,11.4%,0.285,1.31,0.305,72.6%,4.26,4.67
KANSAS CITY ROYALS,Brad Keller,advanced,Pitcher,Handedness,2022,vs L,6.91,3.35,2.06,1.47,17.6%,8.6%,9.1%,0.247,1.35,0.267,66.4%,4.81,4.11
KANSAS CITY ROYALS,Brad Keller,advanced,Pitcher,Handedness,2022,vs R,5.6,2.63,2.13,0.66,15.3%,7.2%,8.1%,0.248,1.21,0.275,73.3%,3.75,4.16
KANSAS CITY ROYALS,Daniel Lynch,advanced,Pitcher,Handedness,2022,vs L,4.76,9.53,0.5,0.0,10.7%,21.4%,-10.7%,0.238,1.94,0.263,81.8%,5.23,6.81
KANSAS CITY ROYALS,Daniel Lynch,advanced,Pitcher,Handedness,2022,vs R,9.44,3.63,2.6,1.31,23.1%,8.9%,14.2%,0.278,1.52,0.335,71.1%,4.25,4.34
KANSAS CITY ROYALS,Kris Bubic,advanced,Pitcher,Handedness,2022,vs L,6.17,8.49,0.73,3.09,12.3%,16.9%,-4.6%,0.407,2.83,0.429,76.6%,9.02,6.48
KANSAS CITY ROYALS,Kris Bubic,advanced,Pitcher,Handedness,2022,vs R,8.23,4.85,1.7,1.05,20.3%,12.0%,8.3%,0.271,1.59,0.32,60.7%,4.42,4.44
KANSAS CITY ROYALS,Brady Singer,advanced,Pitcher,Handedness,2022,vs L,9.6,2.7,3.56,2.1,24.8%,7.0%,17.8%,0.265,1.33,0.308,93.4%,5.21,3.92
KANSAS CITY ROYALS,Brady Singer,advanced,Pitcher,Handedness,2022,vs R,7.82,1.01,7.75,1.01,22.1%,2.9%,19.3%,0.246,1.04,0.29,55.6%,3.25,3.0
KANSAS CITY ROYALS,Scott Barlow,advanced,Pitcher,Handedness,2022,vs L,10.9,1.04,10.5,1.04,29.2%,2.8%,26.4%,0.242,1.04,0.318,82.4%,3.05,2.93
KANSAS CITY ROYALS,Scott Barlow,advanced,Pitcher,Handedness,2022,vs R,7.33,3.86,1.9,1.16,20.9%,11.0%,9.9%,0.165,0.99,0.169,95.7%,4.44,4.24
KANSAS CITY ROYALS,Taylor Clarke,advanced,Pitcher,Handedness,2022,vs L,6.46,1.17,5.5,1.76,16.9%,3.1%,13.8%,0.279,1.24,0.292,63.3%,4.81,4.5
KANSAS CITY ROYALS,Taylor Clarke,advanced,Pitcher,Handedness,2022,vs R,8.61,1.17,7.33,0.78,23.4%,3.2%,20.2%,0.256,1.13,0.313,69.0%,2.72,3.47
KANSAS CITY ROYALS,Jose Cuas,advanced,Pitcher,Handedness,2022,vs L,8.1,13.5,0.6,0.0,14.3%,23.8%,-9.5%,0.308,2.7,0.364,90.9%,7.61,9.85
KANSAS CITY ROYALS,Jose Cuas,advanced,Pitcher,Handedness,2022,vs R,6.28,3.77,1.67,0.63,16.4%,9.8%,6.6%,0.259,1.4,0.295,64.5%,3.88,4.11
KANSAS CITY ROYALS,Amir Garrett,advanced,Pitcher,Handedness,2022,vs L,10.45,4.35,2.4,0.0,31.6%,13.2%,18.4%,0.091,0.77,0.143,75.0%,2.24,3.68
KANSAS CITY ROYALS,Amir Garrett,advanced,Pitcher,Handedness,2022,vs R,9.53,10.32,0.92,0.0,20.7%,22.4%,-1.7%,0.233,2.03,0.323,48.0%,4.96,6.28
KANSAS CITY ROYALS,Dylan Coleman,advanced,Pitcher,Handedness,2022,vs L,10.05,5.02,2.0,0.63,27.1%,13.6%,13.6%,0.167,1.12,0.212,96.2%,3.67,4.32
KANSAS CITY ROYALS,Dylan Coleman,advanced,Pitcher,Handedness,2022,vs R,9.0,8.18,1.1,1.23,21.2%,19.2%,1.9%,0.202,1.68,0.237,67.1%,5.61,5.33
KANSAS CITY ROYALS,Joel Payamps,advanced,Pitcher,Handedness,2022,vs L,5.06,3.38,1.5,1.69,13.0%,8.7%,4.3%,0.225,1.22,0.212,71.4%,5.83,5.21
KANSAS CITY ROYALS,Joel Payamps,advanced,Pitcher,Handedness,2022,vs R,7.71,3.0,2.57,0.0,19.1%,7.4%,11.7%,0.282,1.48,0.353,78.1%,2.54,3.82
KANSAS CITY ROYALS,Wyatt Mills,advanced,Pitcher,Handedness,2022,vs L,7.36,0.0,3.0,0.0,23.1%,0.0%,23.1%,0.308,1.09,0.4,50.0%,1.47,3.51
KANSAS CITY ROYALS,Wyatt Mills,advanced,Pitcher,Handedness,2022,vs R,8.68,4.82,1.8,0.0,22.5%,12.5%,10.0%,0.188,1.18,0.25,69.2%,3.43,4.55
