Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
CHICAGO WHITE SOX,Josh Harrison,advanced,Pitcher,Handedness,2022,vs L,0.0,13.5,0.0,0.0,0.0%,25.0%,-25.0%,0.333,3.0,0.333,100.0%,7.61,12.08
CHICAGO WHITE SOX,Josh Harrison,advanced,Pitcher,Handedness,2022,vs R,6.75,0.0,1.0,6.75,20.0%,0.0%,20.0%,0.4,1.5,0.333,0.0%,11.36,3.85
CHICAGO WHITE SOX,Dylan Cease,advanced,Pitcher,Handedness,2022,vs L,12.09,4.63,2.61,0.4,30.3%,11.6%,18.7%,0.249,1.48,0.369,78.2%,2.68,3.4
CHICAGO WHITE SOX,Dylan Cease,advanced,Pitcher,Handedness,2022,vs R,13.92,3.91,3.57,1.02,38.1%,10.7%,27.4%,0.168,1.04,0.25,79.4%,2.79,2.55
CHICAGO WHITE SOX,Lucas Giolito,advanced,Pitcher,Handedness,2022,vs L,13.5,2.29,5.89,0.76,37.3%,6.3%,31.0%,0.227,1.1,0.351,69.0%,1.98,2.31
CHICAGO WHITE SOX,Lucas Giolito,advanced,Pitcher,Handedness,2022,vs R,8.49,4.24,2.0,2.51,21.0%,10.5%,10.5%,0.308,1.69,0.338,74.4%,6.32,4.62
CHICAGO WHITE SOX,Johnny Cueto,advanced,Pitcher,Handedness,2022,vs L,5.86,2.93,2.0,1.3,16.5%,8.3%,8.3%,0.212,1.08,0.221,98.4%,4.77,4.67
CHICAGO WHITE SOX,Johnny Cueto,advanced,Pitcher,Handedness,2022,vs R,7.81,2.01,3.89,1.12,21.5%,5.5%,16.0%,0.255,1.19,0.298,75.6%,3.66,3.67
CHICAGO WHITE SOX,Michael Kopech,advanced,Pitcher,Handedness,2022,vs L,11.08,5.68,1.95,1.42,28.1%,14.4%,13.7%,0.222,1.45,0.284,82.5%,4.69,4.85
CHICAGO WHITE SOX,Michael Kopech,advanced,Pitcher,Handedness,2022,vs R,6.41,3.5,1.83,0.97,18.3%,10.0%,8.3%,0.156,0.93,0.163,70.3%,4.32,4.91
CHICAGO WHITE SOX,Lance Lynn,advanced,Pitcher,Handedness,2022,vs L,6.0,2.4,2.5,1.8,13.7%,5.5%,8.2%,0.328,1.73,0.352,63.0%,5.58,5.26
CHICAGO WHITE SOX,Lance Lynn,advanced,Pitcher,Handedness,2022,vs R,10.69,2.81,3.8,0.56,26.8%,7.0%,19.7%,0.254,1.31,0.341,41.7%,2.86,3.26
CHICAGO WHITE SOX,Liam Hendriks,advanced,Pitcher,Handedness,2022,vs L,16.34,2.13,7.67,0.71,44.2%,5.8%,38.5%,0.204,1.03,0.36,77.6%,1.21,1.25
CHICAGO WHITE SOX,Liam Hendriks,advanced,Pitcher,Handedness,2022,vs R,10.69,2.81,3.8,1.13,29.7%,7.8%,21.9%,0.193,1.0,0.243,77.5%,3.48,3.72
CHICAGO WHITE SOX,Kendall Graveman,advanced,Pitcher,Handedness,2022,vs L,7.0,1.5,4.67,1.0,18.9%,4.1%,14.9%,0.246,1.11,0.273,69.8%,3.5,3.63
CHICAGO WHITE SOX,Kendall Graveman,advanced,Pitcher,Handedness,2022,vs R,10.02,4.35,2.3,0.44,25.0%,10.9%,14.1%,0.268,1.55,0.362,81.7%,2.96,3.2
CHICAGO WHITE SOX,Joe Kelly,advanced,Pitcher,Handedness,2022,vs L,12.91,7.04,1.83,1.17,28.9%,15.8%,13.2%,0.29,1.96,0.4,58.8%,4.28,3.56
CHICAGO WHITE SOX,Joe Kelly,advanced,Pitcher,Handedness,2022,vs R,11.57,7.71,1.5,0.0,24.3%,16.2%,8.1%,0.355,2.43,0.5,52.9%,3.11,3.75
CHICAGO WHITE SOX,Reynaldo López,advanced,Pitcher,Handedness,2022,vs L,8.79,1.88,4.67,0.0,24.1%,5.2%,19.0%,0.245,1.12,0.317,68.8%,1.78,2.93
CHICAGO WHITE SOX,Reynaldo López,advanced,Pitcher,Handedness,2022,vs R,10.38,1.73,6.0,0.0,29.4%,4.9%,24.5%,0.237,1.04,0.333,60.7%,1.49,2.81
CHICAGO WHITE SOX,José Ruiz,advanced,Pitcher,Handedness,2022,vs L,7.24,3.29,2.2,1.32,20.0%,9.1%,10.9%,0.229,1.17,0.243,68.2%,4.5,4.34
CHICAGO WHITE SOX,José Ruiz,advanced,Pitcher,Handedness,2022,vs R,12.19,6.97,1.75,1.31,29.8%,17.0%,12.8%,0.231,1.65,0.319,87.2%,4.61,4.31
CHICAGO WHITE SOX,Matt Foster,advanced,Pitcher,Handedness,2022,vs L,8.49,2.31,3.67,1.54,21.2%,5.8%,15.4%,0.286,1.46,0.333,49.3%,4.22,4.3
CHICAGO WHITE SOX,Matt Foster,advanced,Pitcher,Handedness,2022,vs R,9.62,2.59,3.71,1.48,26.8%,7.2%,19.6%,0.213,1.07,0.25,68.6%,3.97,3.43
CHICAGO WHITE SOX,Tanner Banks,advanced,Pitcher,Handedness,2022,vs L,7.59,1.69,4.5,2.53,22.5%,5.0%,17.5%,0.211,0.94,0.192,51.7%,5.64,3.52
CHICAGO WHITE SOX,Tanner Banks,advanced,Pitcher,Handedness,2022,vs R,7.62,3.81,2.0,0.35,20.2%,10.1%,10.1%,0.219,1.23,0.27,69.6%,3.3,3.95
CHICAGO WHITE SOX,Jimmy Lambert,advanced,Pitcher,Handedness,2022,vs L,6.75,1.69,4.0,0.84,18.6%,4.7%,14.0%,0.179,0.84,0.194,69.8%,3.67,3.85
